V,J
-0.200000003,0.010104254
-0.170200005,0.009469315
-0.140450001,0.009193949
-0.110650003,0.00892994
-0.080849998,0.008671989
-0.051050000,0.008415958
-0.021299999,0.008174081
0.008500000,0.00797628
0.038300000,0.007675993
0.068099998,0.00741722
0.097850002,0.007149792
0.127649993,0.006894909
0.157450005,0.006600652
0.187250003,0.006295126
0.216999993,0.005973805
0.246800005,0.005625392
0.276600003,0.005243104
0.306400001,0.004832596
0.336149991,0.00436578
0.365949988,0.003866258
0.395749986,0.003248969
0.425550014,0.002535952
0.455300003,0.001681267
0.485100001,0.000646033
0.514900029,-0.000646666
0.544700027,-0.002283564
0.574450016,-0.004401894
0.604250014,-0.007070525
0.634050012,-0.010503759
0.663850009,-0.014922664
0.693599999,-0.015005388
0.723399997,-0.025130448
0.753199995,-0.037445546
0.782999992,-0.057054766
0.812749982,-0.090059591
0.842549980,-0.146355074
0.872349977,-0.231172452
0.902149975,-0.403303921
0.931900024,-0.692479227
0.961700022,-1.20220487
0.991500020,-2.08826617
1.021299958,-3.541054378
1.051049948,-6.07096973
1.080850005,-9.98562317
1.110649943,-15.782797812
1.140450001,-23.589974216
1.170199990,-34.310265442
1.200000048,-47.516997772
Jsc:,0.007976
Eff:,0.001481
Voc:,0.4851
FF:,0.382682
V_MPP:,0.3064
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
