V,J
-0.200000003,0.004623745
-0.170200005,0.004095637
-0.140450001,0.003971277
-0.110650003,0.00386552
-0.080849998,0.003781114
-0.051050000,0.003689974
-0.021299999,0.003609549
0.008500000,0.003577022
0.038300000,0.00344899
0.068099998,0.003374711
0.097850002,0.003291877
0.127649993,0.003205487
0.157450005,0.003117038
0.187250003,0.003024304
0.216999993,0.002927211
0.246800005,0.002818998
0.276600003,0.002702324
0.306400001,0.002580557
0.336149991,0.002445429
0.365949988,0.002301882
0.395749986,0.002143432
0.425550014,0.001983911
0.455300003,0.001779073
0.485100001,0.00155718
0.514900029,0.001279721
0.544700027,0.000955338
0.574450016,0.000540275
0.604250014,-2.9746e-05
0.634050012,-0.000798897
0.663850009,-0.00194023
0.693599999,-0.00373341
0.723399997,-0.006816946
0.753199995,-0.012285162
0.782999992,-0.021228952
0.812749982,-0.038862598
0.842549980,-0.071009005
0.872349977,-0.12601031
0.902149975,-0.214001955
0.931900024,-0.383439995
0.961700022,-0.674347718
0.991500020,-1.190458054
1.021299958,-2.10394626
1.051049948,-3.663183816
1.080850005,-6.25472412
1.110649943,-10.213436776
1.140450001,-15.841121117
1.170199990,-23.175602487
1.200000048,-32.649088186
Jsc:,0.003577
Eff:,0.000848
Voc:,0.60425
FF:,0.392457
V_MPP:,0.39575
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
