V,J
-0.200000003,18.458837843
-0.170200005,18.403059998
-0.140450001,18.377096555
-0.110650003,18.353461417
-0.080849998,18.330125671
-0.051050000,18.308441068
-0.021299999,18.286171819
0.008500000,18.265846681
0.038300000,18.241736117
0.068099998,18.21808813
0.097850002,18.19267464
0.127649993,18.166114985
0.157450005,18.141648494
0.187250003,18.115921478
0.216999993,18.0880075
0.246800005,18.057545491
0.276600003,18.026980687
0.306400001,17.99534553
0.336149991,17.962377893
0.365949988,17.927223292
0.395749986,17.890345591
0.425550014,17.849082399
0.455300003,17.809745327
0.485100001,17.764512963
0.514900029,17.71721699
0.544700027,17.665924862
0.574450016,17.606488801
0.604250014,17.537811471
0.634050012,17.4557104
0.663850009,17.354904497
0.693599999,17.230422339
0.723399997,17.075138948
0.753199995,16.883436578
0.782999992,16.643248383
0.812749982,16.350923856
0.842549980,15.992146226
0.872349977,15.555248261
0.902149975,15.023838015
0.931900024,14.378267513
0.961700022,13.574070213
0.991500020,12.538305362
1.021299958,11.119828354
1.051049948,9.075938297
1.080850005,6.05840754
1.110649943,2.606670441
1.140450001,-4.110371881
1.170199990,-12.412764416
1.200000048,-22.514062784
Jsc:,18.265847
Eff:,13.56962
Voc:,1.11065
FF:,0.668884
V_MPP:,0.87235
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
