V,J
1.200000048,-39.371011664
1.170199990,-26.161354816
1.140450001,-16.401104514
1.110649943,-7.856696604
1.080850005,-2.857512051
1.051049948,1.490413582
1.021299958,4.684870572
0.991500020,6.531876749
0.961700022,7.635651405
0.931900024,8.312487002
0.902149975,8.722269578
0.872349977,8.986010031
0.842549980,9.146895749
0.812749982,9.263579623
0.782999992,9.336517163
0.753199995,9.388622014
0.723399997,9.439332708
0.693599999,9.470622217
0.663850009,9.501294313
0.634050012,9.526746994
0.604250014,9.549068283
0.574450016,9.566864665
0.544700027,9.585115272
0.514900029,9.600342422
0.485100001,9.608036627
0.455300003,9.615568287
0.425550014,9.624252536
0.395749986,9.631982719
0.365949988,9.635701327
0.336149991,9.642244228
0.306400001,9.644182556
0.276600003,9.653361506
0.246800005,9.656783294
0.216999993,9.661089762
0.187250003,9.664888036
0.157450005,9.673155323
0.127649993,9.677101366
0.097850002,9.680379241
0.068099998,9.685910896
0.038300000,9.690636895
0.008500000,9.697739386
-0.021299999,9.701746464
-0.051050000,9.714173092
-0.080849998,9.720493699
-0.110650003,9.729041745
-0.140450001,9.734125599
-0.170200005,9.74303407
-0.200000003,9.75434987
Jsc:,9.697739
Eff:,7.868795
Voc:,1.05105
FF:,0.771995
V_MPP:,0.90215
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
