V,J
1.200000048,-39.724585298
1.170199990,-25.335600123
1.140450001,-16.943378904
1.110649943,-9.738755871
1.080850005,-5.617537191
1.051049948,-3.211247266
1.021299958,-2.113793699
0.991500020,-1.084364152
0.961700022,-0.586902272
0.931900024,-0.323203799
0.902149975,-0.210896864
0.872349977,-0.109509878
0.842549980,-0.062604415
0.812749982,-0.036775933
0.782999992,-0.022080767
0.753199995,-0.016461808
0.723399997,-0.008295379
0.693599999,-0.004608974
0.663850009,-0.00229123
0.634050012,-0.000655537
0.604250014,0.000505232
0.574450016,0.001433517
0.544700027,0.002164971
0.514900029,0.002789071
0.485100001,0.003327787
0.455300003,0.00382804
0.425550014,0.004271644
0.395749986,0.00468969
0.365949988,0.005066406
0.336149991,0.005445339
0.306400001,0.00577418
0.276600003,0.00610882
0.246800005,0.006404196
0.216999993,0.006709669
0.187250003,0.00698087
0.157450005,0.007255244
0.127649993,0.007523447
0.097850002,0.007782729
0.068099998,0.008032244
0.038300000,0.00828803
0.008500000,0.008530637
-0.021299999,0.008763303
-0.051050000,0.009025538
-0.080849998,0.009273868
-0.110650003,0.009528561
-0.140450001,0.009791094
-0.170200005,0.010063016
-0.200000003,0.010344222
Jsc:,0.008531
Eff:,0.001856
Voc:,0.60425
FF:,0.360053
V_MPP:,0.39575
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
