V,J
1.200000048,-33.15870718
1.170199990,-22.544197134
1.140450001,-14.830821155
1.110649943,-8.961921311
1.080850005,-5.201775803
1.051049948,-2.956153156
1.021299958,-1.794963806
0.991500020,-0.984006531
0.961700022,-0.550489838
0.931900024,-0.309810356
0.902149975,-0.185402422
0.872349977,-0.100477983
0.842549980,-0.055594906
0.812749982,-0.030480465
0.782999992,-0.018373286
0.753199995,-0.008578688
0.723399997,-0.003706821
0.693599999,-0.000917868
0.663850009,0.000749119
0.634050012,0.00180627
0.604250014,0.002494599
0.574450016,0.002992196
0.544700027,0.003354274
0.514900029,0.003628587
0.485100001,0.003857303
0.455300003,0.004042457
0.425550014,0.004190736
0.395749986,0.004311308
0.365949988,0.00438282
0.336149991,0.004427572
0.306400001,0.00445435
0.276600003,0.004474638
0.246800005,0.004484502
0.216999993,0.004503683
0.187250003,0.004519293
0.157450005,0.004512986
0.127649993,0.004507428
0.097850002,0.004520639
0.068099998,0.004509007
0.038300000,0.004463663
0.008500000,0.004409357
-0.021299999,0.004330638
-0.051050000,0.004266508
-0.080849998,0.004184302
-0.110650003,0.004124397
-0.140450001,0.004114443
-0.170200005,0.00413948
-0.200000003,0.004195595
Jsc:,0.004409
Eff:,0.001871
Voc:,0.66385
FF:,0.639249
V_MPP:,0.4851
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
