V,J
1.200000048,-33.10169965
1.170199990,-19.723658191
1.140450001,-9.941103946
1.110649943,-3.895608741
1.080850005,-0.569448727
1.051049948,1.88940172
1.021299958,3.565788458
0.991500020,4.595899906
0.961700022,5.3590335
0.931900024,5.936182374
0.902149975,6.455884271
0.872349977,6.882369746
0.842549980,7.26542434
0.812749982,7.597353848
0.782999992,7.907569842
0.753199995,8.186389035
0.723399997,8.46456319
0.693599999,8.713318062
0.663850009,8.96886961
0.634050012,9.210429475
0.604250014,9.445130987
0.574450016,9.650632299
0.544700027,9.871828478
0.514900029,10.07706445
0.485100001,10.28089727
0.455300003,10.486119751
0.425550014,10.684370803
0.395749986,10.878509414
0.365949988,11.071333534
0.336149991,11.25655468
0.306400001,11.445867066
0.276600003,11.628731637
0.246800005,11.8137125
0.216999993,12.002979913
0.187250003,12.185646603
0.157450005,12.376981481
0.127649993,12.559118777
0.097850002,12.750185103
0.068099998,12.943768621
0.038300000,13.144703265
0.008500000,13.347725933
-0.021299999,13.556728699
-0.051050000,13.773107005
-0.080849998,13.996051341
-0.110650003,14.226792676
-0.140450001,14.470340982
-0.170200005,14.719118983
-0.200000003,14.988357041
Jsc:,13.347726
Eff:,6.191627
Voc:,1.08085
FF:,0.429173
V_MPP:,0.783
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
