V,J
-0.200000003,18.736993366
-0.170200005,18.680887862
-0.140450001,18.653338806
-0.110650003,18.627735145
-0.080849998,18.605892495
-0.051050000,18.585645738
-0.021299999,18.562956314
0.008500000,18.54212491
0.038300000,18.516787231
0.068099998,18.493811267
0.097850002,18.46924712
0.127649993,18.446706749
0.157450005,18.419484067
0.187250003,18.392481109
0.216999993,18.366443139
0.246800005,18.335640622
0.276600003,18.305751694
0.306400001,18.275206164
0.336149991,18.241903159
0.365949988,18.207322925
0.395749986,18.171362669
0.425550014,18.134880729
0.455300003,18.09220796
0.485100001,18.050198219
0.514900029,18.003151524
0.544700027,17.954326475
0.574450016,17.896596811
0.604250014,17.829284084
0.634050012,17.752136447
0.663850009,17.654783171
0.693599999,17.533500506
0.723399997,17.386316075
0.753199995,17.204440906
0.782999992,16.982210995
0.812749982,16.714696038
0.842549980,16.390903396
0.872349977,16.001205034
0.902149975,15.531101718
0.931900024,14.964346702
0.961700022,14.253825188
0.991500020,13.324436444
1.021299958,12.021779831
1.051049948,10.091907403
1.080850005,7.152322872
1.110649943,2.733201431
1.140450001,-3.612613502
1.170199990,-12.19535559
1.200000048,-22.954387677
Jsc:,18.542125
Eff:,14.011383
Voc:,1.11065
FF:,0.680369
V_MPP:,0.90215
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
