,voltage,original,-0.2 V,-0.4 V,-0.6 V,-0.8 V,-1 V
0,1.200000048,-29.97972084,-29.97660358,-29.98235239,-29.97516702,-29.97944072,-29.97997525
1,1.179999948,-25.82742923,-19.64411304,-29.98374526,-29.97636715,-29.97952552,-29.9801166
2,1.159999967,-15.60707805,-11.27849078,-29.98539512,-29.97662671,-29.97874942,-29.97884708
3,1.139999986,-6.905350195,-4.728712344,-26.26916045,-29.97626435,-29.97965402,-29.97995983
4,1.120000005,-1.324603153,-0.441890065,-18.06837676,-29.97605362,-29.97693509,-29.97976452
5,1.100000024,4.139018387,4.432825291,-10.28856435,-29.97730515,-29.97682973,-29.97591999
6,1.080000043,7.888455744,7.859889194,-4.581108948,-22.90064434,-29.97819433,-29.97884194
7,1.059999943,10.53123988,10.37477546,-0.581473547,-14.56385381,-29.97833053,-29.978973
8,1.039999962,12.42911058,12.25042115,4.266664943,-7.428611318,-29.97865177,-29.97910663
9,1.019999981,13.8453156,13.70105996,7.481436099,-2.510900125,-29.97788851,-29.97604078
10,1,14.96005667,14.8753856,9.975539763,0.594019952,-29.97808639,-29.97786282
11,0.980000019,15.87952381,15.8577668,11.99072272,4.675549007,-29.97784483,-29.97784483
12,0.959999979,16.66240463,16.70351255,13.63851375,7.365085025,-29.97778315,-29.9776341
13,0.939999998,17.32628766,17.42628476,14.98442261,9.43217315,-29.97765466,-29.97732057
14,0.920000017,17.88401848,18.03712758,16.08624377,11.14736922,-29.9790758,-29.97683487
15,0.899999976,18.34285197,18.53656131,16.97756449,12.49098283,-28.78146488,-29.97445516
16,0.879999995,18.71327924,18.93761166,17.69597169,13.58628987,-24.59022607,-29.97622067
17,0.860000014,19.00971806,19.25333462,18.26342646,14.53673155,-21.8087953,-29.97631061
18,0.839999974,19.24512866,19.49693984,18.70472307,15.28216779,-19.86572441,-29.97515931
19,0.819999993,19.43022136,19.685066,19.04631106,15.94198688,-17.47825417,-29.97655218
20,0.800000012,19.57643085,19.82919062,19.30577896,16.48132547,-15.70127781,-29.97495886
21,0.779999971,19.69266729,19.93945714,19.50281402,16.96276377,-14.40303886,-29.97506679
22,0.75999999,19.78519034,20.02343661,19.64814925,17.32499012,-12.64291156,-29.97438834
23,0.74000001,19.8586749,20.08693645,19.75910233,17.63785347,-11.28759494,-29.97492288
24,0.720000029,19.91735118,20.13660684,19.83922069,17.89855465,-9.756753988,-29.97496657
