,voltage,original,-0.8,dark1h,dark15h
0,1.200000048,-57.66014398,-29.97747453,-29.97971056,-29.97791164
1,1.179999948,-38.7897754,-29.97745914,-29.97990587,-29.97722035
2,1.159999967,-24.16448768,-29.97915245,-29.98162511,-25.31680663
3,1.139999986,-13.45797099,-29.9789023,-29.98072309,-13.36357244
4,1.120000005,-4.150406995,-29.97849052,-24.79659204,-4.027651483
5,1.100000024,1.462622476,-29.97789594,-15.86234571,2.357574978
6,1.080000043,6.227399285,-26.24941528,-8.741117681,6.775475155
7,1.059999943,9.22714137,-21.04140749,-3.439132507,9.796771597
8,1.039999962,11.25962183,-17.3966612,0.963177536,11.91428407
9,1.019999981,12.76327348,-14.54277037,4.236453465,13.49733315
10,1,13.98840725,-11.59344303,6.720870471,14.7664141
11,0.980000019,15.06060393,-9.462190215,8.68157754,15.83026032
12,0.959999979,16.03657165,-7.475126431,10.31087807,16.73935978
13,0.939999998,16.91592365,-6.020161966,11.62973132,17.50771451
14,0.920000017,17.68875563,-3.848798055,12.72368713,18.13896643
15,0.899999976,18.34220794,-2.660293109,13.62041919,18.64431212
16,0.879999995,18.87801652,-1.497156601,14.38607479,19.0423202
17,0.860000014,19.30219489,-0.564737882,15.00208274,19.34771201
18,0.839999974,19.62924742,0.360700247,15.53899894,19.58107426
19,0.819999993,19.87880538,1.164589054,15.94468964,19.75745333
20,0.800000012,20.06332238,1.875373265,16.26445143,19.88896666
21,0.779999971,20.2018322,2.510091126,16.53289411,19.98854553
22,0.75999999,20.303508,3.144943804,16.77897888,20.06404693
23,0.74000001,20.38003116,3.655456499,16.98909569,20.11391762
24,0.720000029,20.4365774,4.133949449,17.17804701,20.16711276
25,0.699999988,20.48040147,4.655443428,17.3246802,20.19139304
26,0.680000007,20.51160874,5.090839618,17.47054629,20.21671008
27,0.660000026,20.53780219,5.501560089,17.64440859,20.23901886
28,0.639999986,20.55894712,5.85493928,17.77837872,20.25714782
29,0.620000005,20.57610617,6.23205084,17.90112493,20.27233149
30,0.600000024,20.59018909,6.60276966,17.7843858,20.28588002
31,0.579999983,20.60114061,6.984984252,18.09677591,20.29560146
32,0.560000002,20.61255599,7.324507614,18.18885581,20.30604598
33,0.540000021,20.62276996,7.688553719,18.29696915,20.31426832
34,0.519999981,20.63075327,8.052837946,18.38690577,20.32077111
35,0.5,20.64003052,8.372491811,18.49272036,20.32748302
36,0.479999989,20.64666208,8.674108516,18.59859791,20.335917
37,0.460000008,20.65301995,9.001266358,18.68500352,20.3402102
38,0.439999998,20.65941123,9.354735986,18.80039603,20.34604532
39,0.419999987,20.66686387,9.60431408,18.89609688,20.35137278
40,0.400000006,20.67244306,9.955406335,18.98127666,20.35692194
41,0.379999995,20.67845272,10.25615907,19.07272051,20.36278856
42,0.360000014,20.68530143,10.48773223,19.15018295,20.36869927
43,0.340000004,20.69105795,10.81651412,19.24934414,20.37563416
44,0.319999993,20.69510036,11.08904912,19.33717474,20.37957715
45,0.300000012,20.70063973,11.40447403,19.42687365,20.38463376
46,0.280000001,20.70576791,11.68620392,19.51397955,20.3887317
47,0.25999999,20.71204997,11.98694222,19.58539765,20.39387901
48,0.239999995,20.71621317,12.26934077,19.67184695,20.39820874
49,0.219999999,20.72056782,12.5642025,19.75943727,20.40240116
50,0.200000003,20.72527969,12.83987495,19.82623731,20.40796293
51,0.180000007,20.72928098,13.10043841,19.90237241,20.41215913
52,0.159999996,20.73360223,13.38971028,19.98867908,20.41633392
53,0.140000001,20.73862633,13.66877898,20.07867224,20.41992292
54,0.119999997,20.74194404,13.9639226,20.15653559,20.42460413
55,0.100000001,20.7470401,14.24191854,20.24045227,20.42891119
56,0.079999998,20.75099899,14.50659407,20.32344638,20.43266522
57,0.059999999,20.7538991,14.77505646,20.40295316,20.43728217
58,0.039999999,20.75708831,15.02017806,20.48606162,20.44137634
59,0.02,20.76235784,15.26676015,20.56964037,20.44488976
60,0,20.7655689,15.51429472,20.65408516,20.45107887
61,-0.02,20.76924125,15.75915559,20.7410947,20.45491227
62,-0.039999999,20.77382719,16.00486696,20.83004834,20.4587507
63,-0.059999999,20.77708194,16.2570745,20.92648931,20.4633664
64,-0.079999998,20.7798998,16.51855293,21.02270542,20.46789014
65,-0.100000001,20.78387925,16.73439849,21.12356657,20.47122593
66,-0.119999997,20.78779446,17.00374121,21.2169057,20.47585423
67,-0.140000001,20.79272862,29.99765383,21.34268693,20.47782069
68,-0.159999996,20.79642153,29.99781931,21.45751664,20.4830209
69,-0.180000007,20.79807396,29.99783663,21.56565568,20.48562857
70,-0.200000003,20.80227956,29.99782508,21.68107903,20.48032883
