,voltage,original,-1.5 V,back
0,1.200000048,-30.00438906,-29.98007805,-29.97809154
1,1.179999948,-30.00516773,-29.97842048,-29.97832539
2,1.159999967,-30.00359754,-29.97820975,-29.97727688
3,1.139999986,-21.71000738,-29.97795276,-29.97616156
4,1.120000005,-13.6447458,-29.97862093,-29.97797846
5,1.100000024,-6.0640188,-29.97762125,-29.97852841
6,1.080000043,-0.204273868,-29.97698135,-29.97733342
7,1.059999943,5.113936447,-29.97493059,-29.97741566
8,1.039999962,9.105517463,-29.97605876,-29.97731029
9,1.019999981,12.06369528,-29.97627463,-29.97649564
10,1,14.16924621,-29.97666268,-29.97459651
11,0.980000019,15.61875464,-29.9762772,-29.97651877
12,0.959999979,16.61825966,-29.97597653,-29.9761924
13,0.939999998,17.33129096,-29.97492031,-29.97678347
14,0.920000017,17.86700091,-29.97482265,-29.97641084
15,0.899999976,18.28564328,-29.97380755,-29.97403884
16,0.879999995,18.6149201,-29.97494344,-29.97427784
17,0.860000014,18.87127856,-29.97543428,-29.97520043
18,0.839999974,19.07027129,-29.97279502,-29.97527238
19,0.819999993,19.21845883,-29.97510791,-29.97520814
20,0.800000012,19.32951535,-29.97502824,-29.97459908
21,0.779999971,19.40906032,-29.97303402,-29.974247
22,0.75999999,19.466929,-29.97415192,-29.9742984
23,0.74000001,19.50901375,-29.97211144,-29.97430354
24,0.720000029,19.53934562,-29.97291581,-29.97371504
25,0.699999988,19.56295175,-29.97349917,-29.97295179
26,0.680000007,19.5807671,-29.97268966,-29.97451684
27,0.660000026,19.59392241,-29.9723787,-29.97347347
28,0.639999986,19.60529717,-29.97296464,-29.97148439
29,0.620000005,19.61509206,-29.97213714,-29.97193669
30,0.600000024,19.62385289,-29.97250206,-29.97215512
31,0.579999983,19.63065082,-29.97123511,-29.97265882
32,0.560000002,19.63681607,-29.97112717,-29.97115801
33,0.540000021,19.64184935,-29.9698962,-29.97159746
34,0.519999981,19.64809415,-29.97274363,-29.97260485
35,0.5,19.65262814,-29.97047186,-29.97169255
36,0.479999989,19.65745583,-29.97024057,-29.96853417
37,0.460000008,19.66185889,-29.97061063,-29.97144841
38,0.439999998,19.66704147,-29.97027398,-29.97047186
39,0.419999987,19.67033947,-29.97013777,-29.97182618
40,0.400000006,19.67487224,-29.97013777,-29.96833115
41,0.379999995,19.67729527,-29.96956983,-29.96868065
42,0.360000014,19.68266386,-29.96729806,-29.96940279
43,0.340000004,19.68579543,-29.97026113,-29.96801506
44,0.319999993,19.68867124,-29.96827204,-29.96884513
45,0.300000012,19.69317342,-29.96813584,-29.96855216
46,0.280000001,19.69638821,-29.96779919,-29.96849048
47,0.25999999,19.69911962,-29.96586664,-29.96805103
48,0.239999995,19.70180575,-29.96769639,-29.9681307
49,0.219999999,19.70365973,-29.96868836,-29.96624184
50,0.200000003,19.70806278,-29.96666844,-29.96655794
51,0.180000007,19.71005015,-29.96725951,-29.96659392
52,0.159999996,19.71308383,-29.96623413,-29.96497746
53,0.140000001,19.71682728,-29.9662624,-24.6223237
54,0.119999997,19.71917443,-29.96610307,-19.05534044
55,0.100000001,19.72235129,-29.96578698,-13.36663636
56,0.079999998,19.72468987,-29.96613648,-7.788694508
57,0.059999999,19.7275302,-29.96498517,-2.218200157
58,0.039999999,19.73088694,-29.34073949,3.458064452
59,0.02,19.73358531,-11.96357217,9.125944846
60,0,19.73504035,5.433362627,14.83246587
61,-0.02,19.73763348,22.83674653,20.55629758
62,-0.039999999,19.73904201,30.00195282,26.2684749
63,-0.059999999,19.74104896,30.002364,30.00241283
64,-0.079999998,19.74400799,30.00243339,30.00240512
65,-0.100000001,19.74482056,30.00235629,30.00241283
66,-0.119999997,19.74829968,30.00239484,30.00255931
67,-0.140000001,19.74984283,30.00243596,30.00240769
68,-0.159999996,19.753716,30.00249249,30.00248222
69,-0.180000007,19.75643884,30.00250277,30.00238456
70,-0.200000003,19.75835156,30.00250277,30.00255417
