Voltage,current
2,-758.8256859
1.980000019,-739.7747976
1.960000038,-720.6743414
1.940000057,-701.5395263
1.919999957,-682.7032271
1.899999976,-663.5714907
1.879999995,-644.4558255
1.860000014,-625.3808614
1.840000033,-606.3682112
1.820000052,-587.3984788
1.799999952,-568.5164909
1.779999971,-549.7113486
1.75999999,-530.9983842
1.74000001,-512.3610339
1.720000029,-494.150645
1.700000048,-475.7344415
1.679999948,-457.489509
1.659999967,-439.3422653
1.639999986,-421.3222048
1.620000005,-403.4681507
1.600000024,-385.7637548
1.580000043,-368.2362023
1.559999943,-350.8723472
1.539999962,-333.7037465
1.519999981,-316.7295074
1.5,-300.2727143
1.480000019,-283.7377516
1.460000038,-267.4444094
1.440000057,-251.4067114
1.419999957,-235.6480561
1.399999976,-220.1738621
1.379999995,-204.9942586
1.360000014,-190.15184
1.340000033,-175.6232232
1.320000052,-162.0219728
1.299999952,-147.6295908
1.279999971,-134.3545958
1.25999999,-121.3705198
1.24000001,-108.9243249
1.220000029,-97.00719821
1.200000048,-85.63793549
1.179999948,-74.85995485
1.159999967,-64.70803079
1.139999986,-55.2323008
1.120000005,-46.45757192
1.100000024,-38.43810332
1.080000043,-31.34668805
1.059999943,-24.92407783
1.039999962,-19.35844025
1.019999981,-15.42732766
1,-10.8267933
0.980000019,-7.608216083
0.959999979,-5.211522861
0.939999998,-3.45208278
0.920000017,-2.19810985
0.899999976,-1.322792305
0.879999995,-0.691718736
0.860000014,-0.364654008
0.839999974,-0.182282371
0.819999993,-0.080952973
0.800000012,-0.04088217
0.779999971,-0.021466685
0.75999999,-0.011181579
0.74000001,-0.005509688
0.720000029,-0.002350644
0.699999988,-0.000432207
0.680000007,0.000783181
0.660000026,0.00158013
0.639999986,0.002105485
0.620000005,0.002487218
0.600000024,0.002771667
0.579999983,0.002981674
0.560000002,0.003157421
0.540000021,0.00329247
0.519999981,0.003402103
0.5,0.003489806
0.479999989,0.003566075
0.460000008,0.003628432
0.439999998,0.003676429
0.419999987,0.003709514
0.400000006,0.003749332
0.379999995,0.003778889
0.360000014,0.003802835
0.340000004,0.003825846
0.319999993,0.003846783
0.300000012,0.003864927
0.280000001,0.003882792
0.25999999,0.003900556
0.239999995,0.003918989
0.219999999,0.003934752
0.200000003,0.003959117
0.180000007,0.003981332
0.159999996,0.004005725
0.140000001,0.004031851
0.119999997,0.004056811
0.100000001,0.004083907
0.079999998,0.004110187
0.059999999,0.004136868
0.039999999,0.004159595
0.02,0.004189226
0,0.004212262
-0.02,0.00421705
-0.039999999,0.004267946
-0.059999999,0.004293485
-0.079999998,0.004317014
-0.100000001,0.004341516
-0.119999997,0.004367431
-0.140000001,0.004386427
-0.159999996,0.004412085
-0.180000007,0.004434377
-0.200000003,0.004454689
-0.219999999,0.00447599
-0.239999995,0.004502196
-0.25999999,0.004523841
-0.280000001,0.004545323
-0.300000012,0.004563544
-0.319999993,0.004589049
-0.340000004,0.004610931
-0.360000014,0.004633355
-0.379999995,0.004654484
-0.400000006,0.004676008
-0.419999987,0.004700198
-0.439999998,0.004722726
-0.460000008,0.004748105
-0.479999989,0.004772651
-0.5,0.004799183
-0.519999981,0.004833401
-0.540000021,0.004880378
-0.560000002,0.004949333
-0.579999983,0.005066928
-0.600000024,0.00523602
-0.620000005,0.005763404
-0.639999986,0.006326284
-0.660000026,0.006441336
-0.680000007,0.006781525
-0.699999988,0.0072436
-0.720000029,0.00764894
-0.74000001,0.008547024
-0.75999999,0.009183031
-0.779999971,0.009813916
-0.800000012,0.010220657
-0.819999993,0.010789517
-0.839999974,0.011193733
-0.860000014,0.012034279
-0.879999995,0.012902332
-0.899999976,0.013458858
-0.920000017,0.019239773
-0.939999998,0.022869962
-0.959999979,0.022725393
-0.980000019,0.025583039
-1,0.025813023
-1.019999981,0.027061661
-1.039999962,0.031831762
-1.059999943,0.034155878
-1.080000043,0.038831049
-1.100000024,0.042963823
-1.120000005,0.044450889
-1.139999986,0.049089563
-1.159999967,0.054419616
-1.179999948,0.067592511
-1.200000048,0.07796753
-1.220000029,0.087455357
-1.24000001,0.103335194
-1.25999999,0.116867108
-1.279999971,0.129995009
-1.299999952,0.172780888
-1.320000052,0.216507138
-1.340000033,0.188171868
-1.360000014,0.180208032
-1.379999995,0.200189811
-1.399999976,0.215852993
-1.419999957,0.240172385
-1.440000057,0.254312728
-1.460000038,0.269885683
-1.480000019,0.249565602
-1.5,0.263329444
-1.519999981,0.31066992
-1.539999962,0.343746484
-1.559999943,0.400710918
-1.580000043,0.423795246
-1.600000024,0.448601512
-1.620000005,0.51557159
-1.639999986,0.582793141
-1.659999967,0.738078251
-1.679999948,0.733033788
-1.700000048,0.795328252
-1.720000029,0.805302868
-1.74000001,0.904659858
-1.75999999,1.053175382
-1.779999971,1.345757151
-1.799999952,1.489138255
-1.820000052,1.857525401
-1.840000033,2.068593956
-1.860000014,1.85094541
-1.879999995,2.067149829
-1.899999976,2.304579358
-1.919999957,2.5442304
-1.940000057,2.847345111
-1.960000038,3.250888
-1.980000019,3.658346678
-2,3.64623756
-2.019999981,3.90852128
-2.039999962,4.048248049
-2.059999943,4.541363629
-2.079999924,4.930969631
-2.099999905,5.004845256
-2.119999886,5.497105039
-2.140000105,5.778871007
-2.160000086,6.580376547
-2.180000067,6.92620173
-2.200000048,7.276640712
-2.220000029,7.516301857
-2.24000001,7.580293243
-2.25999999,8.126084831
-2.279999971,8.576368713
-2.299999952,9.059286407
-2.319999933,9.421718091
-2.339999914,9.979431186
-2.359999895,10.07413457
-2.380000114,10.86608395
-2.400000095,11.23342047
-2.420000076,11.78892745
-2.440000057,12.53184866
-2.460000038,12.95732838
-2.480000019,13.76523051
-2.5,14.28837018
-2.519999981,14.20706995
-2.539999962,14.55388563
-2.559999943,15.13810678
-2.579999924,16.08412848
-2.599999905,16.53978478
-2.619999886,16.51553768
-2.640000105,16.99864587
-2.660000086,17.83732302
-2.680000067,18.69464008
-2.700000048,19.6241231
-2.720000029,20.7188774
-2.74000001,20.94810013
-2.75999999,21.85711329
-2.779999971,22.72583906
-2.799999952,23.04839802
-2.819999933,24.67791812
-2.839999914,25.91035998
-2.859999895,26.22192395
-2.880000114,28.42184449
-2.900000095,29.4204301
-2.920000076,31.08606012
-2.940000057,32.19879625
-2.960000038,33.63075089
-2.980000019,36.49070012
-3,37.83401364
-3.019999981,39.70643382
-3.039999962,41.62493139
-3.059999943,43.83678017
-3.079999924,45.33727168
-3.099999905,48.03999289
-3.119999886,50.22866636
-3.140000105,53.63774186
-3.160000086,56.68030344
-3.180000067,59.12941242
-3.200000048,61.42504175
-3.220000029,64.80748988
-3.24000001,69.18557573
-3.25999999,73.13067355
-3.279999971,76.06105309
-3.299999952,78.72362737
-3.319999933,82.06234952
-3.339999914,85.51274572
-3.359999895,90.34741824
-3.380000114,92.81776291
-3.400000095,97.88912221
-3.420000076,103.7401139
-3.440000057,108.941766
-3.460000038,115.3415377
-3.480000019,117.9911966
-3.5,124.3123292
-3.519999981,129.0661999
-3.539999962,136.0475555
-3.559999943,141.5450064
-3.579999924,149.872154
-3.599999905,152.1728748
-3.619999886,160.895796
-3.640000105,169.0574606
-3.660000086,178.5879847
-3.680000067,185.6373731
-3.700000048,189.0878847
-3.720000029,196.5353404
-3.74000001,203.6726118
-3.75999999,212.7504823
-3.779999971,222.0956501
-3.799999952,232.7683605
-3.819999933,241.5006411
-3.839999914,250.650539
-3.859999895,261.3134744
-3.880000114,271.5871785
-3.900000095,283.8332545
-3.920000076,295.0052461
-3.940000057,306.4103609
-3.960000038,317.5500565
-3.980000019,330.784843
-4,343.9839468
-4.019999981,356.3988615
-4.039999962,370.6176788
-4.059999943,384.4449096
-4.079999924,396.9771557
-4.099999905,412.1030042
-4.119999886,425.4630651
-4.139999866,439.3831819
-4.159999847,454.5522561
-4.179999828,466.8884472
-4.199999809,485.6939281
-4.21999979,498.3048978
-4.239999771,514.1227575
-4.260000229,527.6562754
-4.28000021,543.4685625
-4.300000191,555.7660845
-4.320000172,573.8841108
-4.340000153,588.9640859
-4.360000134,602.1593105
-4.380000114,619.0862291
-4.400000095,633.4036589
-4.420000076,653.1843962
-4.440000057,667.1991846
-4.460000038,685.576134
-4.480000019,702.1742419
-4.5,719.4265231
-4.519999981,738.0742795
-4.539999962,754.9454112
-4.559999943,772.0043467
-4.579999924,793.1978619
-4.599999905,812.0792956
-4.619999886,831.8749957
-4.639999866,852.5711692
-4.659999847,874.9866412
-4.679999828,893.6064426
-4.699999809,915.2705142
-4.71999979,937.7390023
-4.739999771,959.4928504
-4.760000229,982.1275911
-4.78000021,1005.013866
-4.800000191,1029.326773
-4.820000172,1054.149891
-4.840000153,1075.898197
-4.860000134,1100.938798
-4.880000114,1120.98751
-4.900000095,1141.085112
-4.920000076,1157.598308
-4.940000057,1175.400516
-4.960000038,1189.613515
-4.980000019,1203.804716
-5,1215.975886
-5.019999981,1226.453003
-5.039999962,1236.120039
