voltage,meO2PACz,NiOx,PEDOT:PSS,PolyTPD,PTAA
2.000499964,-881.8853246,-804.9809461,-24.99990187,-303.0743481,-134.4583498
1.980499983,-858.4866223,-784.6603294,-24.99872662,-293.4193192,-129.3292869
1.960500002,-835.1497414,-764.3722856,-24.99793129,-283.3205806,-124.2150021
1.940500021,-811.7999297,-744.0899065,-24.99757416,-272.9639657,-119.1604759
1.92050004,-788.4895875,-723.8065424,-24.99770587,-262.4527051,-114.16597
1.900500059,-765.291743,-703.5621548,-24.99859491,-251.8645064,-109.2484098
1.880499959,-742.1123095,-683.3548966,-24.99793889,-241.2241383,-104.4123903
1.860499978,-718.9477155,-663.2143236,-24.99849359,-230.6038899,-99.66914134
1.840499997,-695.8657552,-643.1390195,-24.99871142,-220.0324088,-95.01651545
1.820500016,-673.304412,-623.458346,-24.99815165,-209.7179113,-90.5402328
1.800500035,-650.4444913,-603.5558198,-24.99912935,-199.3353579,-86.07898985
1.780500054,-627.5929449,-583.7458401,-24.99794396,-189.0831588,-81.71975366
1.760499954,-604.874339,-564.0648587,-24.99741965,-178.9762615,-77.47121402
1.740499973,-582.1838729,-544.4694659,-24.99928892,-169.0293824,-73.32054021
1.720499992,-559.5366324,-525.0007933,-24.99859744,-158.7971183,-69.29170802
1.700500011,-537.042837,-505.6624739,-24.99814912,-149.4879103,-65.37043205
1.680500031,-514.6769637,-486.486126,-24.99690801,-140.3201556,-61.57617385
1.66050005,-492.3700178,-467.4203659,-24.99851639,-131.3246571,-57.89355506
1.640499949,-470.1741532,-448.494626,-24.99958273,-122.5649064,-54.3301571
1.620499969,-448.0994684,-429.7252853,-24.99725755,-114.0500935,-50.88816589
1.600499988,-426.5626415,-411.4093789,-24.99859744,-105.9349026,-47.63055731
1.580500007,-404.7752966,-392.9548991,-24.99802501,-97.98061503,-44.43393497
1.560500026,-383.1341309,-374.6610979,-24.99839987,-90.30874911,-41.35896567
1.540500045,-361.6408068,-356.5459242,-24.99729301,-82.95392541,-38.41289219
1.520499945,-340.3826686,-338.6125798,-24.99794902,-75.91270341,-35.59252801
1.500499964,-319.3366565,-320.8799066,-24.99705998,-69.20281675,-32.89993206
1.480499983,-298.5267846,-303.3572023,-24.99805794,-62.8257355,-30.33287415
1.460500002,-277.9694936,-286.0419116,-24.99848599,-56.78767492,-27.88994384
1.440500021,-257.7210784,-268.9574942,-24.99673071,-51.09423448,-25.57421411
1.42050004,-237.7826166,-252.1095535,-24.99673831,-45.7459876,-23.38134968
1.400500059,-218.2284755,-235.5203641,-24.99803007,-40.74433895,-21.31049236
1.380499959,-199.392361,-219.4647328,-24.99915974,-36.15784467,-19.39423652
1.360499978,-180.6752094,-203.4256034,-24.99669525,-31.83586523,-17.56031228
1.340499997,-162.506984,-187.6687466,-24.9969384,-27.84181717,-15.92314629
1.320500016,-144.5241765,-172.2535974,-24.99558078,-24.18067845,-14.28100042
1.300500035,-127.5661625,-156.8566895,-24.99804527,-20.84170999,-12.76739149
1.280500054,-111.3815849,-141.6050666,-24.99663446,-17.82529087,-11.36645528
1.260499954,-96.04474176,-127.4099843,-24.99750323,-15.18301904,-10.06925571
1.240499973,-81.64197668,-113.7333975,-24.99646475,-12.76746654,-8.868512482
1.220499992,-68.29246047,-100.572843,-24.99739685,-10.63740481,-7.759234657
1.200500011,-56.08540382,-87.95546762,-24.99670285,-8.78846396,-6.734097207
1.180500031,-45.1309414,-75.96189532,-24.99717143,-7.202996957,-5.790144532
1.16050005,-35.6468372,-64.84484307,-24.99607469,-5.88128426,-4.936466648
1.140499949,-27.35373102,-54.26952673,-24.99584167,-4.748604068,-4.138624823
1.120499969,-20.42865881,-44.5457697,-24.99635837,-3.804769973,-3.412563387
1.100499988,-14.41312507,-35.73673197,-24.99748551,-3.024034947,-2.759773609
1.080500007,-10.13809276,-27.91615281,-24.99739432,-2.379979927,-2.182989087
1.060500026,-7.102417005,-21.16163335,-24.99618107,-1.85236825,-1.6861042
1.040500045,-4.928100139,-15.5013083,-21.86092725,-1.484186515,-1.291286807
1.020499945,-3.422962594,-10.57381739,-15.627867,-1.089740256,-0.93504582
1.000499964,-2.398167896,-7.148674863,-10.98780046,-0.808822568,-0.672166434
0.980499983,-1.702471858,-4.658928634,-7.469897914,-0.595048499,-0.475510108
0.960500002,-1.197381735,-2.962985118,-4.8850158,-0.435528931,-0.334043995
0.940500021,-0.875331495,-1.834705397,-3.074392161,-0.313421676,-0.230827591
0.92049998,-0.648139539,-1.173426062,-1.850892337,-0.223633036,-0.159616606
0.9005,-0.482739343,-0.709781544,-1.057942621,-0.15615331,-0.107655738
0.880500019,-0.363556602,-0.451978624,-0.608270841,-0.109454869,-0.073572244
0.860499978,-0.275934199,-0.29633524,-0.346433669,-0.076595923,-0.050327205
0.840499997,-0.212132213,-0.198215625,-0.187179838,-0.053189002,-0.034444034
0.820500016,-0.165732244,-0.153350713,-0.104868365,-0.036621391,-0.023614098
0.800499976,-0.129163281,-0.094520719,-0.060914789,-0.024941823,-0.016186095
0.780499995,-0.106234942,-0.062527532,-0.036542644,-0.016733714,-0.011009231
0.760500014,-0.087190709,-0.042106475,-0.022754621,-0.010597051,-0.007583946
0.740499973,-0.073125358,-0.028587472,-0.015093915,-0.006669969,-0.005271199
0.720499992,-0.061963806,-0.018804558,-0.00984094,-0.003901845,-0.003645788
0.700500011,-0.053645027,-0.018967593,-0.006818682,-0.001891841,-0.002520613
0.680499971,-0.046421948,-0.012337286,-0.00486159,-0.000430444,-0.001743015
0.66049999,-0.040808561,-0.005069493,-0.003567149,0.000626584,-0.001203152
0.640500009,-0.036395644,-0.001589269,-0.002712386,0.00139671,-0.000827941
0.620500028,-0.03242414,0.000465195,-0.002099888,0.001956994,-0.000560819
0.600499988,-0.028929935,0.001805848,-0.001640502,0.002377116,-0.000370486
0.580500007,-0.026398916,0.002660244,-0.001285281,0.002688777,-0.000234894
0.560500026,-0.023788605,0.003165397,-0.001002802,0.002922148,-0.00013887
0.540499985,-0.021526794,0.003417884,-0.000762301,0.003104523,-6.88E-05
0.520500004,-0.019386235,0.003460146,-0.000563661,0.003239878,-1.81E-05
0.500500023,-0.017494554,0.003407912,-0.000409677,0.003350954,2.03E-05
