voltage,current,HTL
1.5,-414.6309677,MeO2PACz
1.480000019,-385.6563679,MeO2PACz
1.460000038,-356.9032535,MeO2PACz
1.440000057,-328.7029291,MeO2PACz
1.419999957,-301.1206642,MeO2PACz
1.399999976,-274.3710787,MeO2PACz
1.379999995,-248.5026629,MeO2PACz
1.360000014,-223.5535009,MeO2PACz
1.340000033,-199.5954201,MeO2PACz
1.320000052,-176.744982,MeO2PACz
1.299999952,-154.6317511,MeO2PACz
1.279999971,-134.3902016,MeO2PACz
1.25999999,-115.4326765,MeO2PACz
1.24000001,-97.9093727,MeO2PACz
1.220000029,-81.94844338,MeO2PACz
1.200000048,-67.59257541,MeO2PACz
1.179999948,-54.94284036,MeO2PACz
1.159999967,-43.96051523,MeO2PACz
1.139999986,-34.61669053,MeO2PACz
1.120000005,-26.83426084,MeO2PACz
1.100000024,-20.49933927,MeO2PACz
1.080000043,-15.22049901,MeO2PACz
1.059999943,-11.35139249,MeO2PACz
1.039999962,-8.442671007,MeO2PACz
1.019999981,-6.241458833,MeO2PACz
1.0,-4.585986776,MeO2PACz
0.980000019,-3.342190565,MeO2PACz
0.959999979,-2.40110113,MeO2PACz
0.939999998,-1.691137359,MeO2PACz
0.920000017,-1.059209736,MeO2PACz
0.899999976,-0.731692486,MeO2PACz
0.879999995,-0.483381943,MeO2PACz
0.860000014,-0.311966484,MeO2PACz
0.839999974,-0.198958746,MeO2PACz
0.819999993,-0.115442899,MeO2PACz
0.800000012,-0.074565833,MeO2PACz
0.779999971,-0.047888804,MeO2PACz
0.75999999,-0.030407811,MeO2PACz
0.74000001,-0.018785354,MeO2PACz
0.720000029,-0.012798244,MeO2PACz
0.699999988,-0.005289909,MeO2PACz
0.680000007,-0.001331143,MeO2PACz
0.660000026,0.001430179,MeO2PACz
0.639999986,0.003445972,MeO2PACz
0.620000005,0.004951289,MeO2PACz
0.600000024,0.006061799,MeO2PACz
0.579999983,0.00686974,MeO2PACz
0.560000002,0.00755718,MeO2PACz
0.540000021,0.0080433,MeO2PACz
0.519999981,0.008421773,MeO2PACz
0.5,0.008725819,MeO2PACz
0.479999989,0.008934018,MeO2PACz
0.460000008,0.009107918,MeO2PACz
0.439999998,0.009223239,MeO2PACz
0.419999987,0.009304213,MeO2PACz
0.400000006,0.009333488,MeO2PACz
0.379999995,0.009329098,MeO2PACz
0.360000014,0.009261092,MeO2PACz
0.340000004,0.009157813,MeO2PACz
0.319999993,0.009040986,MeO2PACz
0.300000012,0.008859674,MeO2PACz
0.280000001,0.00861869,MeO2PACz
0.25999999,0.008335331,MeO2PACz
0.239999995,0.008043775,MeO2PACz
0.219999999,0.007722064,MeO2PACz
0.200000003,0.007392933,MeO2PACz
0.180000007,0.007057088,MeO2PACz
0.159999996,0.006717876,MeO2PACz
0.140000001,0.00641114,MeO2PACz
0.119999997,0.006108554,MeO2PACz
0.100000001,0.005820996,MeO2PACz
0.079999998,0.005572417,MeO2PACz
0.059999999,0.005329231,MeO2PACz
0.039999999,0.005107943,MeO2PACz
0.02,0.004902814,MeO2PACz
0.0,0.004690382,MeO2PACz
-0.02,0.004538601,MeO2PACz
-0.039999999,0.004375754,MeO2PACz
-0.059999999,0.004224923,MeO2PACz
-0.079999998,0.004085683,MeO2PACz
-0.100000001,0.003956485,MeO2PACz
-0.119999997,0.003846026,MeO2PACz
-0.140000001,0.003741085,MeO2PACz
-0.159999996,0.003639389,MeO2PACz
-0.180000007,0.003557447,MeO2PACz
-0.200000003,0.003472437,MeO2PACz
-0.219999999,0.003399197,MeO2PACz
-0.239999995,0.003321846,MeO2PACz
-0.25999999,0.003267786,MeO2PACz
-0.280000001,0.003217398,MeO2PACz
-0.300000012,0.00316194,MeO2PACz
-0.319999993,0.003216872,MeO2PACz
-0.340000004,0.003136419,MeO2PACz
-0.360000014,0.003140306,MeO2PACz
-0.379999995,0.003247064,MeO2PACz
-0.400000006,0.003326044,MeO2PACz
-0.419999987,0.003225072,MeO2PACz
-0.439999998,0.003243009,MeO2PACz
-0.460000008,0.003409703,MeO2PACz
-0.479999989,0.003684084,MeO2PACz
-0.5,0.004756734,MeO2PACz
-0.519999981,0.026339932,MeO2PACz
-0.540000021,0.061925999,MeO2PACz
-0.560000002,0.259659565,MeO2PACz
-0.579999983,0.459244584,MeO2PACz
-0.600000024,0.784614916,MeO2PACz
-0.620000005,1.918551202,MeO2PACz
-0.639999986,2.788306909,MeO2PACz
-0.660000026,3.913757324,MeO2PACz
-0.680000007,5.371731991,MeO2PACz
-0.699999988,7.195584861,MeO2PACz
-0.720000029,9.411861273,MeO2PACz
-0.74000001,11.97953589,MeO2PACz
-0.75999999,14.85180398,MeO2PACz
-0.779999971,19.70202516,MeO2PACz
-0.800000012,22.79849377,MeO2PACz
-0.819999993,26.12828562,MeO2PACz
-0.839999974,29.65372448,MeO2PACz
-0.860000014,33.34974162,MeO2PACz
-0.879999995,37.23798258,MeO2PACz
-0.899999976,41.23483423,MeO2PACz
-0.920000017,45.32188947,MeO2PACz
-0.939999998,49.49054319,MeO2PACz
-0.959999979,53.62385284,MeO2PACz
-0.980000019,57.73118551,MeO2PACz
-1.0,61.7192781,MeO2PACz
-1.019999981,65.53205885,MeO2PACz
-1.039999962,69.00420643,MeO2PACz
-1.059999943,72.14326381,MeO2PACz
-1.080000043,74.83326207,MeO2PACz
-1.100000024,77.15058505,MeO2PACz
-1.120000005,78.94786059,MeO2PACz
-1.139999986,80.14969004,MeO2PACz
-1.159999967,81.0048135,MeO2PACz
-1.179999948,81.4499472,MeO2PACz
-1.200000048,81.5585194,MeO2PACz
-1.220000029,81.44643743,MeO2PACz
-1.24000001,81.40221885,MeO2PACz
-1.25999999,81.18955403,MeO2PACz
-1.279999971,81.08232878,MeO2PACz
-1.299999952,81.12575459,MeO2PACz
-1.320000052,81.33402448,MeO2PACz
-1.340000033,81.6325557,MeO2PACz
-1.360000014,82.13562383,MeO2PACz
-1.379999995,82.51721209,MeO2PACz
-1.399999976,83.31626377,MeO2PACz
-1.419999957,84.61689807,MeO2PACz
-1.440000057,85.69461532,MeO2PACz
-1.460000038,86.86393315,MeO2PACz
-1.480000019,89.58668163,MeO2PACz
-1.5,118.2113505,MeO2PACz
2.0,-758.8256859,NiOx
1.980000019,-739.7747976,NiOx
1.960000038,-720.6743414,NiOx
1.940000057,-701.5395263,NiOx
1.919999957,-682.7032271,NiOx
1.899999976,-663.5714907,NiOx
1.879999995,-644.4558255,NiOx
1.860000014,-625.3808614,NiOx
1.840000033,-606.3682112,NiOx
1.820000052,-587.3984788,NiOx
1.799999952,-568.5164909,NiOx
1.779999971,-549.7113486,NiOx
1.75999999,-530.9983842,NiOx
1.74000001,-512.3610339,NiOx
1.720000029,-494.150645,NiOx
1.700000048,-475.7344415,NiOx
1.679999948,-457.489509,NiOx
1.659999967,-439.3422653,NiOx
1.639999986,-421.3222048,NiOx
1.620000005,-403.4681507,NiOx
1.600000024,-385.7637548,NiOx
1.580000043,-368.2362023,NiOx
1.559999943,-350.8723472,NiOx
1.539999962,-333.7037465,NiOx
1.519999981,-316.7295074,NiOx
1.5,-300.2727143,NiOx
1.480000019,-283.7377516,NiOx
1.460000038,-267.4444094,NiOx
1.440000057,-251.4067114,NiOx
1.419999957,-235.6480561,NiOx
1.399999976,-220.1738621,NiOx
1.379999995,-204.9942586,NiOx
1.360000014,-190.15184,NiOx
1.340000033,-175.6232232,NiOx
1.320000052,-162.0219728,NiOx
1.299999952,-147.6295908,NiOx
1.279999971,-134.3545958,NiOx
1.25999999,-121.3705198,NiOx
1.24000001,-108.9243249,NiOx
1.220000029,-97.00719821,NiOx
1.200000048,-85.63793549,NiOx
1.179999948,-74.85995485,NiOx
1.159999967,-64.70803079,NiOx
1.139999986,-55.2323008,NiOx
1.120000005,-46.45757192,NiOx
1.100000024,-38.43810332,NiOx
1.080000043,-31.34668805,NiOx
1.059999943,-24.92407783,NiOx
1.039999962,-19.35844025,NiOx
1.019999981,-15.42732766,NiOx
1.0,-10.8267933,NiOx
0.980000019,-7.608216083,NiOx
0.959999979,-5.211522861,NiOx
0.939999998,-3.45208278,NiOx
0.920000017,-2.19810985,NiOx
0.899999976,-1.322792305,NiOx
0.879999995,-0.691718736,NiOx
0.860000014,-0.364654008,NiOx
0.839999974,-0.182282371,NiOx
0.819999993,-0.080952973,NiOx
0.800000012,-0.04088217,NiOx
0.779999971,-0.021466685,NiOx
0.75999999,-0.011181579,NiOx
0.74000001,-0.005509688,NiOx
0.720000029,-0.002350644,NiOx
0.699999988,-0.000432207,NiOx
0.680000007,0.000783181,NiOx
0.660000026,0.00158013,NiOx
0.639999986,0.002105485,NiOx
0.620000005,0.002487218,NiOx
0.600000024,0.002771667,NiOx
0.579999983,0.002981674,NiOx
0.560000002,0.003157421,NiOx
0.540000021,0.00329247,NiOx
0.519999981,0.003402103,NiOx
0.5,0.003489806,NiOx
0.479999989,0.003566075,NiOx
0.460000008,0.003628432,NiOx
0.439999998,0.003676429,NiOx
0.419999987,0.003709514,NiOx
0.400000006,0.003749332,NiOx
0.379999995,0.003778889,NiOx
0.360000014,0.003802835,NiOx
0.340000004,0.003825846,NiOx
0.319999993,0.003846783,NiOx
0.300000012,0.003864927,NiOx
0.280000001,0.003882792,NiOx
0.25999999,0.003900556,NiOx
0.239999995,0.003918989,NiOx
0.219999999,0.003934752,NiOx
0.200000003,0.003959117,NiOx
0.180000007,0.003981332,NiOx
0.159999996,0.004005725,NiOx
0.140000001,0.004031851,NiOx
0.119999997,0.004056811,NiOx
0.100000001,0.004083907,NiOx
0.079999998,0.004110187,NiOx
0.059999999,0.004136868,NiOx
0.039999999,0.004159595,NiOx
0.02,0.004189226,NiOx
0.0,0.004212262,NiOx
-0.02,0.00421705,NiOx
-0.039999999,0.004267946,NiOx
-0.059999999,0.004293485,NiOx
-0.079999998,0.004317014,NiOx
-0.100000001,0.004341516,NiOx
-0.119999997,0.004367431,NiOx
-0.140000001,0.004386427,NiOx
-0.159999996,0.004412085,NiOx
-0.180000007,0.004434377,NiOx
-0.200000003,0.004454689,NiOx
-0.219999999,0.00447599,NiOx
-0.239999995,0.004502196,NiOx
-0.25999999,0.004523841,NiOx
-0.280000001,0.004545323,NiOx
-0.300000012,0.004563544,NiOx
-0.319999993,0.004589049,NiOx
-0.340000004,0.004610931,NiOx
-0.360000014,0.004633355,NiOx
-0.379999995,0.004654484,NiOx
-0.400000006,0.004676008,NiOx
-0.419999987,0.004700198,NiOx
-0.439999998,0.004722726,NiOx
-0.460000008,0.004748105,NiOx
-0.479999989,0.004772651,NiOx
-0.5,0.004799183,NiOx
-0.519999981,0.004833401,NiOx
-0.540000021,0.004880378,NiOx
-0.560000002,0.004949333,NiOx
-0.579999983,0.005066928,NiOx
-0.600000024,0.00523602,NiOx
-0.620000005,0.005763404,NiOx
-0.639999986,0.006326284,NiOx
-0.660000026,0.006441336,NiOx
-0.680000007,0.006781525,NiOx
-0.699999988,0.0072436,NiOx
-0.720000029,0.00764894,NiOx
-0.74000001,0.008547024,NiOx
-0.75999999,0.009183031,NiOx
-0.779999971,0.009813916,NiOx
-0.800000012,0.010220657,NiOx
-0.819999993,0.010789517,NiOx
-0.839999974,0.011193733,NiOx
-0.860000014,0.012034279,NiOx
-0.879999995,0.012902332,NiOx
-0.899999976,0.013458858,NiOx
-0.920000017,0.019239773,NiOx
-0.939999998,0.022869962,NiOx
-0.959999979,0.022725393,NiOx
-0.980000019,0.025583039,NiOx
-1.0,0.025813023,NiOx
-1.019999981,0.027061661,NiOx
-1.039999962,0.031831762,NiOx
-1.059999943,0.034155878,NiOx
-1.080000043,0.038831049,NiOx
-1.100000024,0.042963823,NiOx
-1.120000005,0.044450889,NiOx
