Voltage,Current
1.200000048,-29.98007805
1.179999948,-29.97842048
1.159999967,-29.97820975
1.139999986,-29.97795276
1.120000005,-29.97862093
1.100000024,-29.97762125
1.080000043,-29.97698135
1.059999943,-29.97493059
1.039999962,-29.97605876
1.019999981,-29.97627463
1,-29.97666268
0.980000019,-29.9762772
0.959999979,-29.97597653
0.939999998,-29.97492031
0.920000017,-29.97482265
0.899999976,-29.97380755
0.879999995,-29.97494344
0.860000014,-29.97543428
0.839999974,-29.97279502
0.819999993,-29.97510791
0.800000012,-29.97502824
0.779999971,-29.97303402
0.75999999,-29.97415192
0.74000001,-29.97211144
0.720000029,-29.97291581
0.699999988,-29.97349917
0.680000007,-29.97268966
0.660000026,-29.9723787
0.639999986,-29.97296464
0.620000005,-29.97213714
0.600000024,-29.97250206
0.579999983,-29.97123511
0.560000002,-29.97112717
0.540000021,-29.9698962
0.519999981,-29.97274363
0.5,-29.97047186
0.479999989,-29.97024057
0.460000008,-29.97061063
0.439999998,-29.97027398
0.419999987,-29.97013777
0.400000006,-29.97013777
0.379999995,-29.96956983
0.360000014,-29.96729806
0.340000004,-29.97026113
0.319999993,-29.96827204
0.300000012,-29.96813584
0.280000001,-29.96779919
0.25999999,-29.96586664
0.239999995,-29.96769639
0.219999999,-29.96868836
0.200000003,-29.96666844
0.180000007,-29.96725951
0.159999996,-29.96623413
0.140000001,-29.9662624
0.119999997,-29.96610307
0.100000001,-29.96578698
0.079999998,-29.96613648
0.059999999,-29.96498517
0.039999999,-29.34073949
0.02,-11.96357217
0,5.433362627
-0.02,22.83674653
-0.039999999,30.00195282
-0.059999999,30.002364
-0.079999998,30.00243339
-0.100000001,30.00235629
-0.119999997,30.00239484
-0.140000001,30.00243596
-0.159999996,30.00249249
-0.180000007,30.00250277
-0.200000003,30.00250277
