Voltage,current
2,-283.1923163
1.980000019,-275.2548949
1.960000038,-266.900414
1.940000057,-258.2492807
1.919999957,-249.5415167
1.899999976,-240.495897
1.879999995,-231.3338478
1.860000014,-222.0954014
1.840000033,-212.8188511
1.820000052,-203.5299037
1.799999952,-194.2688843
1.779999971,-185.051203
1.75999999,-176.075782
1.74000001,-167.1154613
1.720000029,-158.380527
1.700000048,-149.5953499
1.679999948,-140.9776457
1.659999967,-132.5047897
1.639999986,-124.2152473
1.620000005,-116.1303606
1.600000024,-108.2666331
1.580000043,-100.63765
1.559999943,-93.25294164
1.539999962,-86.14152929
1.519999981,-79.29824747
1.5,-72.86079879
1.480000019,-66.60804983
1.460000038,-60.65740292
1.440000057,-55.02336011
1.419999957,-49.70893027
1.399999976,-44.71319223
1.379999995,-40.03980055
1.360000014,-35.68934282
1.340000033,-31.65191639
1.320000052,-27.93055169
1.299999952,-24.51469825
1.279999971,-21.45322564
1.25999999,-18.62238447
1.24000001,-16.1873221
1.220000029,-13.80639591
1.200000048,-11.7384849
1.179999948,-9.91994196
1.159999967,-8.319800141
1.139999986,-6.921834513
1.120000005,-5.70784866
1.100000024,-4.663237236
1.080000043,-3.787171616
1.059999943,-3.031801595
1.039999962,-2.40197867
1.019999981,-1.882412806
1,-1.469070098
0.980000019,-1.121315107
0.959999979,-0.852454144
0.939999998,-0.642389256
0.920000017,-0.480402245
0.899999976,-0.356526457
0.879999995,-0.262756386
0.860000014,-0.193293832
0.839999974,-0.137618271
0.819999993,-0.1006493
0.800000012,-0.072195759
0.779999971,-0.051276839
0.75999999,-0.035969483
0.74000001,-0.024816191
0.720000029,-0.016217226
0.699999988,-0.010560954
0.680000007,-0.006290497
0.660000026,-0.003159264
0.639999986,-0.000885935
0.620000005,0.000826919
0.600000024,0.002119447
0.579999983,0.003109474
0.560000002,0.003874281
0.540000021,0.004480598
0.519999981,0.004967932
0.5,0.0053743
0.479999989,0.005717718
0.460000008,0.006011901
0.439999998,0.006270411
0.419999987,0.006503547
0.400000006,0.006720417
0.379999995,0.006919594
0.360000014,0.007104473
0.340000004,0.007284167
0.319999993,0.00745056
0.300000012,0.007612813
0.280000001,0.007767425
0.25999999,0.007918419
0.239999995,0.008066494
0.219999999,0.008202333
0.200000003,0.008345559
0.180000007,0.008479364
0.159999996,0.008613203
0.140000001,0.008744924
0.119999997,0.008872644
0.100000001,0.009000315
0.079999998,0.00912147
0.059999999,0.009242498
0.039999999,0.009360776
0.02,0.009477773
0,0.009586858
-0.02,0.00968366
-0.039999999,0.009808042
-0.059999999,0.009910808
-0.079999998,0.010017027
-0.100000001,0.010116845
-0.119999997,0.010217062
-0.140000001,0.01031443
-0.159999996,0.010412233
-0.180000007,0.010506022
-0.200000003,0.010595971
-0.219999999,0.010690673
-0.239999995,0.01077986
-0.25999999,0.010871244
-0.280000001,0.010957827
-0.300000012,0.0110462
-0.319999993,0.011133126
-0.340000004,0.011216905
-0.360000014,0.011297863
-0.379999995,0.011382552
-0.400000006,0.011462247
-0.419999987,0.011541625
-0.439999998,0.011616732
-0.460000008,0.011696065
-0.479999989,0.011769496
-0.5,0.011845407
-0.519999981,0.011917537
-0.540000021,0.01199025
-0.560000002,0.012063317
-0.579999983,0.012130343
-0.600000024,0.012203097
-0.620000005,0.012275434
-0.639999986,0.01235122
-0.660000026,0.01242666
-0.680000007,0.012511792
-0.699999988,0.012601486
-0.720000029,0.012700363
-0.74000001,0.012824157
-0.75999999,0.012971937
-0.779999971,0.013154476
-0.800000012,0.013374684
-0.819999993,0.01367156
-0.839999974,0.013968427
-0.860000014,0.014272634
-0.879999995,0.014767987
-0.899999976,0.015234705
-0.920000017,0.0158563
-0.939999998,0.016489279
-0.959999979,0.017230625
-0.980000019,0.018177145
-1,0.019795842
-1.019999981,0.021286505
-1.039999962,0.02285907
-1.059999943,0.025105074
-1.080000043,0.026882611
-1.100000024,0.028989994
-1.120000005,0.03162569
-1.139999986,0.034893273
-1.159999967,0.038483535
-1.179999948,0.042302512
-1.200000048,0.046536498
-1.220000029,0.051865512
-1.24000001,0.05696153
-1.25999999,0.062976224
-1.279999971,0.069664438
-1.299999952,0.076766957
-1.320000052,0.085066192
-1.340000033,0.094307426
-1.360000014,0.10419631
-1.379999995,0.114517986
-1.399999976,0.127168232
-1.419999957,0.139173004
-1.440000057,0.150138985
-1.460000038,0.163452846
-1.480000019,0.176843971
-1.5,0.190847384
-1.519999981,0.204578921
-1.539999962,0.217050132
-1.559999943,0.230229208
-1.580000043,0.244407796
-1.600000024,0.25596234
-1.620000005,0.267802665
-1.639999986,0.280619906
-1.659999967,0.294671157
-1.679999948,0.303340894
-1.700000048,0.314042784
-1.720000029,0.324269827
-1.74000001,0.333415486
-1.75999999,0.340944114
-1.779999971,0.347606215
-1.799999952,0.35318071
-1.820000052,0.358523164
-1.840000033,0.361646755
-1.860000014,0.365011469
-1.879999995,0.367480936
-1.899999976,0.367539787
-1.919999957,0.368926324
-1.940000057,0.371950877
-1.960000038,0.372229428
-1.980000019,0.369856645
-2,0.368307141
-2.019999981,0.366909877
-2.039999962,0.367349311
-2.059999943,0.367224311
-2.079999924,0.366318136
-2.099999905,0.363359731
-2.119999886,0.363322807
-2.140000105,0.364336058
-2.160000086,0.363889393
-2.180000067,0.365838615
-2.200000048,0.365591911
-2.220000029,0.36726554
-2.24000001,0.366603951
-2.25999999,0.363549871
-2.279999971,0.366863973
-2.299999952,0.368761978
-2.319999933,0.371265411
-2.339999914,0.371042381
-2.359999895,0.371929892
-2.380000114,0.37084797
