voltage,Current
2.000499964,-881.8853246
1.980499983,-858.4866223
1.960500002,-835.1497414
1.940500021,-811.7999297
1.92050004,-788.4895875
1.900500059,-765.291743
1.880499959,-742.1123095
1.860499978,-718.9477155
1.840499997,-695.8657552
1.820500016,-673.304412
1.800500035,-650.4444913
1.780500054,-627.5929449
1.760499954,-604.874339
1.740499973,-582.1838729
1.720499992,-559.5366324
1.700500011,-537.042837
1.680500031,-514.6769637
1.66050005,-492.3700178
1.640499949,-470.1741532
1.620499969,-448.0994684
1.600499988,-426.5626415
1.580500007,-404.7752966
1.560500026,-383.1341309
1.540500045,-361.6408068
1.520499945,-340.3826686
1.500499964,-319.3366565
1.480499983,-298.5267846
1.460500002,-277.9694936
1.440500021,-257.7210784
1.42050004,-237.7826166
1.400500059,-218.2284755
1.380499959,-199.392361
1.360499978,-180.6752094
1.340499997,-162.506984
1.320500016,-144.5241765
1.300500035,-127.5661625
1.280500054,-111.3815849
1.260499954,-96.04474176
1.240499973,-81.64197668
1.220499992,-68.29246047
1.200500011,-56.08540382
1.180500031,-45.1309414
1.16050005,-35.6468372
1.140499949,-27.35373102
1.120499969,-20.42865881
1.100499988,-14.41312507
1.080500007,-10.13809276
1.060500026,-7.102417005
1.040500045,-4.928100139
1.020499945,-3.422962594
1.000499964,-2.398167896
0.980499983,-1.702471858
0.960500002,-1.197381735
0.940500021,-0.875331495
0.92049998,-0.648139539
0.9005,-0.482739343
0.880500019,-0.363556602
0.860499978,-0.275934199
0.840499997,-0.212132213
0.820500016,-0.165732244
0.800499976,-0.129163281
0.780499995,-0.106234942
0.760500014,-0.087190709
0.740499973,-0.073125358
0.720499992,-0.061963806
0.700500011,-0.053645027
0.680499971,-0.046421948
0.66049999,-0.040808561
0.640500009,-0.036395644
0.620500028,-0.03242414
0.600499988,-0.028929935
0.580500007,-0.026398916
0.560500026,-0.023788605
0.540499985,-0.021526794
0.520500004,-0.019386235
0.500500023,-0.017494554
0.480500013,-0.015936179
0.460500002,-0.014075719
0.440499991,-0.012644281
0.42050001,-0.011295813
0.4005,-0.009946253
0.380499989,-0.008802232
0.360500008,-0.007606404
0.340499997,-0.006356494
0.320499986,-0.005366585
0.300500005,-0.004303511
0.280499995,-0.003335231
0.260500014,-0.002349789
0.240500003,-0.001571039
0.220500007,-0.000696
0.200499997,0.00011365
0.180500001,0.000816867
0.160500005,0.001471
0.140499994,0.002055737
0.120499998,0.002635348
0.100500003,0.003180087
0.080499999,0.003689139
0.0605,0.004198735
0.0405,0.004650586
0.020500001,0.005106748
0.0005,0.005550646
-0.0195,0.005958267
-0.039500002,0.006441814
-0.059500001,0.006917776
-0.079499997,0.007457838
-0.0995,0.00796635
-0.119499996,0.008568222
-0.139500007,0.009205989
-0.159500003,0.009819454
-0.179499999,0.010500247
-0.199499995,0.011348882
-0.219500005,0.012291424
-0.239500001,0.01337567
-0.259499997,0.014567663
-0.279500008,0.015526594
-0.299499989,0.016971757
-0.319499999,0.018667268
-0.33950001,0.020241395
-0.359499991,0.021731782
-0.379500002,0.023196564
-0.399500012,0.02484903
-0.419499993,0.026272273
-0.439500004,0.027996699
-0.459500015,0.029740035
-0.479499996,0.031107216
-0.499500006,0.032520716
