voltage,Current
2.000499964,-24.99990187
1.980499983,-24.99872662
1.960500002,-24.99793129
1.940500021,-24.99757416
1.92050004,-24.99770587
1.900500059,-24.99859491
1.880499959,-24.99793889
1.860499978,-24.99849359
1.840499997,-24.99871142
1.820500016,-24.99815165
1.800500035,-24.99912935
1.780500054,-24.99794396
1.760499954,-24.99741965
1.740499973,-24.99928892
1.720499992,-24.99859744
1.700500011,-24.99814912
1.680500031,-24.99690801
1.66050005,-24.99851639
1.640499949,-24.99958273
1.620499969,-24.99725755
1.600499988,-24.99859744
1.580500007,-24.99802501
1.560500026,-24.99839987
1.540500045,-24.99729301
1.520499945,-24.99794902
1.500499964,-24.99705998
1.480499983,-24.99805794
1.460500002,-24.99848599
1.440500021,-24.99673071
1.42050004,-24.99673831
1.400500059,-24.99803007
1.380499959,-24.99915974
1.360499978,-24.99669525
1.340499997,-24.9969384
1.320500016,-24.99558078
1.300500035,-24.99804527
1.280500054,-24.99663446
1.260499954,-24.99750323
1.240499973,-24.99646475
1.220499992,-24.99739685
1.200500011,-24.99670285
1.180500031,-24.99717143
1.16050005,-24.99607469
1.140499949,-24.99584167
1.120499969,-24.99635837
1.100499988,-24.99748551
1.080500007,-24.99739432
1.060500026,-24.99618107
1.040500045,-21.86092725
1.020499945,-15.627867
1.000499964,-10.98780046
0.980499983,-7.469897914
0.960500002,-4.8850158
0.940500021,-3.074392161
0.92049998,-1.850892337
0.9005,-1.057942621
0.880500019,-0.608270841
0.860499978,-0.346433669
0.840499997,-0.187179838
0.820500016,-0.104868365
0.800499976,-0.060914789
0.780499995,-0.036542644
0.760500014,-0.022754621
0.740499973,-0.015093915
0.720499992,-0.00984094
0.700500011,-0.006818682
0.680499971,-0.00486159
0.66049999,-0.003567149
0.640500009,-0.002712386
0.620500028,-0.002099888
0.600499988,-0.001640502
0.580500007,-0.001285281
0.560500026,-0.001002802
0.540499985,-0.000762301
0.520500004,-0.000563661
0.500500023,-0.000409677
0.480500013,-0.000281696
0.460500002,-0.000183236
0.440499991,-0.000103806
0.42050001,-4.97E-05
0.4005,-8.07E-06
0.380499989,1.67E-05
0.360500008,3.49E-05
0.340499997,5.49E-05
0.320499986,6.53E-05
0.300500005,6.97E-05
0.280499995,7.31E-05
0.260500014,7.80E-05
0.240500003,8.28E-05
0.220500007,8.11E-05
0.200499997,8.30E-05
0.180500001,8.56E-05
0.160500005,8.84E-05
0.140499994,9.31E-05
0.120499998,9.27E-05
0.100500003,8.99E-05
0.080499999,9.44E-05
0.0605,9.91E-05
0.0405,9.87E-05
0.020500001,9.98E-05
0.0005,0.000107738
-0.0195,0.000103593
-0.039500002,0.000105117
-0.059500001,0.000109232
-0.079499997,0.000109163
-0.0995,0.000106569
-0.119499996,0.000117667
-0.139500007,0.000121501
-0.159500003,0.000125014
-0.179499999,0.000125312
-0.199499995,0.000131058
-0.219500005,0.000132733
-0.239500001,0.000138713
-0.259499997,0.000159085
-0.279500008,0.000168707
-0.299499989,0.00019055
-0.319499999,0.000241864
-0.33950001,0.000251508
-0.359499991,0.000294677
-0.379500002,0.000350178
-0.399500012,0.000423475
-0.419499993,0.000520487
-0.439500004,0.000643542
-0.459500015,0.000803174
-0.479499996,0.00100321
-0.499500006,0.001251994
-0.519500017,0.001556513
-0.539499998,0.001923969
-0.559499979,0.002353702
-0.57950002,0.002857487
-0.5995,0.003401598
-0.619499981,0.004031197
-0.639500022,0.004695604
-0.659500003,0.00543389
-0.679499984,0.006203908
-0.699500024,0.007015543
-0.719500005,0.007855575
-0.739499986,0.008736642
-0.759500027,0.009652092
-0.779500008,0.010569355
-0.799499989,0.011487002
-0.819500029,0.01245729
-0.83950001,0.013429029
-0.859499991,0.014435826
-0.879499972,0.015464678
-0.899500012,0.016519363
-0.919499993,0.017512768
-0.939499974,0.017015374
-0.959500015,0.016909989
-0.979499996,0.01801191
-0.999499977,0.018193589
-1.019500017,0.018238948
-1.039499998,0.019384416
-1.059499979,0.020531387
-1.07949996,0.022970756
-1.099499941,0.024538771
-1.119500041,0.026154759
-1.139500022,0.027753768
-1.159500003,0.029354552
-1.179499984,0.030973835
-1.199499965,0.032576583
-1.219499946,0.034186332
-1.239500046,0.035834778
-1.259500027,0.037479037
-1.279500008,0.039145893
-1.299499989,0.040851568
-1.319499969,0.042576174
-1.33949995,0.044378368
-1.359500051,0.046129747
-1.379500031,0.047840347
-1.399500012,0.049587452
-1.419499993,0.051372222
-1.439499974,0.053207943
-1.459499955,0.055045415
-1.479500055,0.056899218
-1.499500036,0.058802509
-1.519500017,0.060719678
-1.539499998,0.062658639
-1.559499979,0.064662415
-1.57949996,0.066642228
-1.599499941,0.068610969
-1.619500041,0.070739619
-1.639500022,0.072819911
-1.659500003,0.074945562
-1.679499984,0.077129154
-1.699499965,0.07933601
-1.719499946,0.081623207
-1.739500046,0.083871827
-1.759500027,0.086248125
-1.779500008,0.088642222
-1.799499989,0.091058086
-1.819499969,0.093587841
-1.83949995,0.096175596
-1.859500051,0.098677508
-1.879500031,0.101431621
-1.899500012,0.104124579
-1.919499993,0.106940589
-1.939499974,0.109857618
-1.959499955,0.112784055
-1.979500055,0.115811917
-1.999500036,0.118905416
-2.019500017,0.122050997
-2.039499998,0.125400387
-2.059499979,0.128741109
-2.07949996,0.132165466
-2.099499941,0.13562744
-2.119499922,0.139241574
-2.139499903,0.14296127
-2.159499884,0.146752033
-2.179500103,0.150710689
-2.199500084,0.154729442
-2.219500065,0.158844741
-2.239500046,0.163186535
-2.259500027,0.167652312
-2.279500008,0.17220489
-2.299499989,0.176846533
-2.319499969,0.181799741
-2.33949995,0.186794979
-2.359499931,0.192123964
-2.379499912,0.197815408
-2.399499893,0.203297375
-2.419500113,0.20920071
-2.439500093,0.215420773
-2.459500074,0.221648615
-2.479500055,0.226741824
-2.499500036,0.234953386
-2.519500017,0.24207757
-2.539499998,0.249832006
-2.559499979,0.257836703
-2.57949996,0.266454001
-2.599499941,0.27509916
-2.619499922,0.284385654
-2.639499903,0.294087322
-2.659499884,0.304039131
-2.679500103,0.314852359
-2.699500084,0.325803826
-2.719500065,0.337491135
-2.739500046,0.349958729
-2.759500027,0.363050796
-2.779500008,0.376262504
-2.799499989,0.390626197
-2.819499969,0.405870028
-2.83949995,0.421528379
-2.859499931,0.438036079
-2.879499912,0.455404996
-2.899499893,0.473226469
-2.919500113,0.492109219
-2.939500093,0.51195652
-2.959500074,0.533155868
-2.979500055,0.554982815
-2.999500036,0.57786918
-3.019500017,0.602596752
-3.039499998,0.627757247
-3.059499979,0.654782182
-3.07949996,0.683432515
-3.099499941,0.713459666
-3.119499922,0.745354975
-3.139499903,0.779413919
-3.159499884,0.815276433
-3.179500103,0.853908574
-3.199500084,0.89423165
-3.219500065,0.937023969
-3.239500046,0.98167297
-3.259500027,1.030534153
-3.279500008,1.08302068
-3.299499989,1.138362793
-3.319499969,1.197489665
-3.33949995,1.259766333
-3.359499931,1.32680735
-3.379499912,1.397439125
-3.399499893,1.472516579
-3.419500113,1.55478995
-3.439500093,1.641463253
-3.459500074,1.733519403
-3.479500055,1.833398358
-3.499500036,1.939750884
-3.519500017,2.051494646
-3.539499998,2.172221432
-3.559499979,2.318283046
-3.57949996,2.451451504
-3.599499941,2.595544279
-3.619499922,2.753534025
-3.639499903,2.918258068
-3.659499884,3.095790894
-3.679500103,3.281806338
-3.699500084,3.482104702
-3.719500065,3.694115742
-3.739500046,3.916717709
-3.759500027,4.154339348
-3.779500008,4.405630946
-3.799499989,4.67478126
-3.819499969,4.953988061
-3.83949995,5.257709039
-3.859499931,5.575150634
-3.879499912,5.907013192
-3.899499893,6.262120635
-3.919500113,6.637027613
-3.939500093,7.03122628
-3.959500074,7.448405783
-3.979500055,7.881113747
-3.999500036,8.341041955
-4.019499779,8.831845355
-4.039500237,9.340309902
-4.059500217,9.885614578
-4.079500198,10.450639
-4.099500179,11.04389745
-4.11950016,11.67504971
-4.139500141,12.33662441
-4.159500122,13.02165992
-4.179500103,13.74357672
-4.199500084,14.49419487
-4.219500065,15.29162319
-4.239500046,16.20133542
-4.259500027,17.0569377
-4.279500008,17.96316214
-4.299499989,18.91628036
-4.319499969,19.92625416
-4.33949995,20.95962546
-4.359499931,22.04852258
-4.379499912,23.37861967
-4.399499893,24.56532528
-4.419499874,24.99925346
-4.439499855,24.99923319
-4.459499836,24.99920787
-4.479499817,24.99935224
-4.499499798,24.99885579
-4.519499779,24.99893431
-4.539500237,24.99900777
-4.559500217,24.99912681
-4.579500198,24.99937757
-4.599500179,24.99948395
-4.61950016,24.99900017
-4.639500141,24.99912681
-4.659500122,24.99870889
-4.679500103,24.99908882
-4.699500084,24.99879247
-4.719500065,24.99896217
-4.739500046,24.99933451
-4.759500027,24.99907109
-4.779500008,24.99917494
-4.799499989,24.99923319
-4.819499969,24.99872155
-4.83949995,24.99907109
-4.859499931,24.99935224
-4.879499912,24.99894445
-4.899499893,24.99895711
-4.919499874,24.99871902
-4.939499855,24.99897737
-4.959499836,24.99895711
-4.979499817,24.99895458
-4.999499798,24.99852399
-5.019499779,24.99945355
-5.039500237,24.99887099
-5.059500217,24.99912681
-5.079500198,24.99930158
-5.099500179,24.9991724
-5.11950016,24.99914454
-5.139500141,24.99905589
-5.159500122,24.99907109
-5.179500103,24.99907615
-5.199500084,24.99883047
-5.219500065,24.99851385
-5.239500046,24.99940036
-5.259500027,24.9989951
-5.279500008,24.99900777
-5.299499989,24.99880007
-5.319499969,24.99915721
-5.33949995,24.99911415
-5.359499931,24.99911415
-5.379499912,24.99873928
-5.399499893,24.99910402
-5.419499874,24.99892165
-5.439499855,24.99908122
-5.459499836,24.99868862
-5.479499817,24.99867343
-5.499499798,24.99895711
-5.519499779,24.99932438
-5.539500237,24.99918254
-5.559500217,24.99877981
-5.579500198,24.99946369
-5.599500179,24.99908629
-5.61950016,24.9988482
-5.639500141,24.9993877
-5.659500122,24.99886593
-5.679500103,24.99891658
-5.699500084,24.99932944
-5.719500065,24.99902043
-5.739500046,24.999218
-5.759500027,24.99888366
-5.779500008,24.99908122
-5.799499989,24.99909895
-5.819499969,24.99945102
-5.83949995,24.99878234
-5.859499931,24.99880007
-5.879499912,24.99875448
-5.899499893,24.99942316
-5.919499874,24.99907615
-5.939499855,24.99892925
-5.959499836,24.99914454
-5.979499817,24.99897231
-5.999499798,24.99899004
-6.019499779,24.99882793
-6.039500237,24.99878487
-6.059500217,24.99880007
-6.079500198,24.99894445
-6.099500179,24.99893431
-6.11950016,24.99895711
-6.139500141,24.99891405
-6.159500122,24.99905336
-6.179500103,24.99908375
-6.199500084,24.99929398
-6.219500065,24.99920027
-6.239500046,24.99866836
-6.259500027,24.99902043
-6.279500008,24.99914708
-6.299499989,24.99890645
-6.319499969,24.99922813
-6.33949995,24.99916227
-6.359499931,24.99915214
-6.379499912,24.99914708
-6.399499893,24.99920533
-6.419499874,24.99931425
-6.439499855,24.99922813
-6.459499836,24.99904323
-6.479499817,24.99918254
-6.499499798,24.99894445
-6.519499779,24.99859744
-6.539500237,24.99912428
-6.559500217,24.99877221
-6.579500198,24.99949915
-6.599500179,24.99891912
-6.61950016,24.99915721
-6.639500141,24.99887099
-6.659500122,24.99924586
-6.679500103,24.99945355
-6.699500084,24.99908629
-6.719500065,24.99867343
-6.739500046,24.99913948
-6.759500027,24.99912935
-6.779500008,24.9991876
-6.799499989,24.99877981
-6.819499969,24.99929145
-6.83949995,24.99908882
-6.859499931,24.99934971
-6.879499912,24.99931678
-6.899499893,24.9989875
-6.919499874,24.99925599
-6.939499855,24.99925092
-6.959499836,24.99939023
-6.979499817,24.99924839
-6.999499798,24.99913694
-7.019499779,24.99891912
-7.039500237,24.99930158
-7.059500217,24.99907869
-7.079500198,24.9991876
-7.099500179,24.99932438
-7.11950016,24.99875448
-7.139500141,24.99908882
-7.159500122,24.99895458
-7.179500103,24.99933957
-7.199500084,24.99924079
-7.219500065,24.99890139
-7.239500046,24.99942823
-7.259500027,24.99917747
-7.279500008,24.99905336
-7.299499989,24.99915467
-7.319499969,24.99952954
-7.33949995,24.99959033
-7.359499931,24.9991724
-7.379499912,24.99942063
-7.399499893,24.99915214
-7.419499874,24.99947635
-7.439499855,24.99934717
-7.459499836,24.99920027
-7.479499817,24.99937757
-7.499499798,24.99915974
-7.519499779,24.9995498
-7.539500237,24.99949661
-7.559500217,24.99952701
-7.579500198,24.99931931
-7.599500179,24.99920787
-7.61950016,24.99907869
-7.639500141,24.99897991
-7.659500122,24.99901537
-7.679500103,24.99946115
-7.699500084,24.99902803
-7.719500065,24.99953967
-7.739500046,24.99938517
-7.759500027,24.99945102
-7.779500008,24.9990027
-7.799499989,24.99930158
-7.819499969,24.99904829
-7.83949995,24.99936744
-7.859499931,24.99912175
-7.879499912,24.99933451
-7.899499893,24.99922813
-7.919499874,24.999565
-7.939499855,24.99931931
-7.959499836,24.99951688
-7.979499817,24.99900523
-7.999499798,24.99938517
-8.019499779,24.99961059
-8.039500237,24.99886593
-8.059499741,24.99946622
-8.079500198,24.99931425
-8.099499702,25.00001332
-8.11950016,24.99951941
-8.139499664,24.99937757
-8.159500122,24.99920787
-8.179499626,24.99941809
-8.199500084,24.99952954
-8.219499588,24.99935224
-8.239500046,24.99929905
-8.25949955,24.99922813
-8.279500008,24.99936237
-8.299500465,24.99906856
-8.319499969,24.99937757
-8.339500427,24.99913441
-8.359499931,24.99946875
-8.379500389,24.99948395
-8.399499893,24.99924079
-8.419500351,24.99946875
-8.439499855,24.99919773
-8.459500313,24.99920027
-8.479499817,24.99913188
-8.499500275,24.99969924
-8.519499779,24.99922306
-8.539500237,24.99913188
-8.559499741,24.99947128
-8.579500198,24.99956247
-8.599499702,24.99928638
-8.61950016,24.9989875
-8.639499664,24.99926359
-8.659500122,24.99905589
-8.679499626,24.99941049
-8.699500084,24.99916987
-8.719499588,24.99920027
-8.739500046,24.9992028
-8.75949955,24.99900017
-8.779500008,24.99950421
-8.799500465,24.99947635
-8.819499969,24.99955993
-8.839500427,24.99922306
-8.859499931,24.99912681
-8.879500389,24.99870129
-8.899499893,24.99897484
-8.919500351,24.99913948
-8.939499855,24.99915467
-8.959500313,24.99885326
-8.979499817,24.99925092
-8.999500275,24.99910148
-9.019499779,24.99927625
-9.039500237,24.99930158
-9.059499741,24.9994029
-9.079999924,24.9992104
-9.100000381,24.99941303
-9.119999886,24.99953967
-9.140000343,24.99945102
-9.159999847,24.99949661
-9.180000305,24.99945102
-9.199999809,24.99953461
-9.220000267,24.99945862
-9.239999771,24.99953461
-9.260000229,24.99927879
-9.279999733,24.99944089
-9.300000191,24.99968151
-9.319999695,24.9995726
-9.340000153,24.99948648
-9.359999657,24.9999196
-9.380000114,24.99913694
-9.399999619,24.99963339
-9.420000076,24.9993649
-9.43999958,24.99935477
-9.460000038,24.99948648
-9.479999542,24.99977523
-9.5,24.9994029
-9.520000458,24.9993725
-9.539999962,24.99945609
-9.56000042,24.99971697
-9.579999924,24.99933451
-9.600000381,24.9990103
-9.619999886,24.99931931
-9.640000343,24.99932691
-9.659999847,24.99983095
-9.680000305,24.99951941
-9.699999809,24.99953967
-9.720000267,24.99957513
-9.739999771,24.99954474
-9.760000229,24.99942823
-9.779999733,24.99929652
-9.800000191,24.9993649
-9.819999695,24.99925346
-9.840000153,24.9993953
-9.859999657,24.99968658
-9.880000114,24.99940543
-9.899999619,24.99928638
-9.920000076,24.99912175
-9.93999958,24.99918
-9.960000038,24.99926105
-9.979999542,24.99976003
-10,24.99944596
-10.02000046,
-10.03999996,
-10.06000042,
-10.07999992,
-10.10000038,
-10.11999989,
-10.14000034,
-10.15999985,
-10.18000031,
-10.19999981,
-10.22000027,
-10.23999977,
-10.26000023,
-10.27999973,
-10.30000019,
-10.3199997,
-10.34000015,
-10.35999966,
-10.38000011,
-10.39999962,
-10.42000008,
-10.43999958,
-10.46000004,
-10.47999954,
-10.5,
-10.52000046,
-10.53999996,
-10.56000042,
-10.57999992,
-10.60000038,
-10.61999989,
-10.64000034,
-10.65999985,
-10.68000031,
-10.69999981,
-10.72000027,
-10.73999977,
-10.76000023,
-10.77999973,
-10.80000019,
-10.8199997,
-10.84000015,
-10.85999966,
-10.88000011,
-10.89999962,
-10.92000008,
-10.93999958,
-10.96000004,
-10.97999954,
-11,
-11.02000046,
-11.03999996,
-11.06000042,
-11.07999992,
-11.10000038,
-11.11999989,
-11.14000034,
-11.15999985,
-11.18000031,
-11.19999981,
-11.22000027,
-11.23999977,
-11.26000023,
-11.27999973,
-11.30000019,
-11.3199997,
-11.34000015,
-11.35999966,
-11.38000011,
-11.39999962,
-11.42000008,
-11.43999958,
-11.46000004,
-11.47999954,
-11.5,
-11.52000046,
-11.53999996,
-11.56000042,
-11.57999992,
-11.60000038,
-11.61999989,
-11.64000034,
-11.65999985,
-11.68000031,
-11.69999981,
-11.72000027,
-11.73999977,
-11.76000023,
-11.77999973,
-11.80000019,
-11.8199997,
-11.84000015,
-11.85999966,
-11.88000011,
-11.89999962,
-11.92000008,
-11.93999958,
-11.96000004,
-11.97999954,
-12,
-12.02000046,
-12.03999996,
-12.06000042,
-12.07999992,
-12.10000038,
-12.11999989,
-12.14000034,
-12.15999985,
-12.18000031,
-12.19999981,
-12.22000027,
-12.23999977,
-12.26000023,
-12.27999973,
-12.30000019,
-12.3199997,
-12.34000015,
-12.35999966,
-12.38000011,
-12.39999962,
-12.42000008,
-12.43999958,
-12.46000004,
-12.47999954,
-12.5,
-12.52000046,
-12.53999996,
-12.56000042,
-12.57999992,
-12.60000038,
-12.61999989,
-12.64000034,
-12.65999985,
-12.68000031,
-12.69999981,
-12.72000027,
-12.73999977,
-12.76000023,
-12.77999973,
-12.80000019,
-12.8199997,
-12.84000015,
-12.85999966,
-12.88000011,
-12.89999962,
-12.92000008,
-12.93999958,
-12.96000004,
-12.97999954,
-13,
-13.02000046,
-13.03999996,
-13.06000042,
-13.07999992,
-13.10000038,
-13.11999989,
-13.14000034,
-13.15999985,
-13.18000031,
-13.19999981,
-13.22000027,
-13.23999977,
-13.26000023,
-13.27999973,
-13.30000019,
-13.3199997,
-13.34000015,
-13.35999966,
-13.38000011,
-13.39999962,
-13.42000008,
-13.43999958,
-13.46000004,
-13.47999954,
-13.5,
-13.52000046,
-13.53999996,
-13.56000042,
-13.57999992,
-13.60000038,
-13.61999989,
-13.64000034,
-13.65999985,
-13.68000031,
-13.69999981,
-13.72000027,
-13.73999977,
-13.76000023,
-13.77999973,
-13.80000019,
-13.8199997,
-13.84000015,
-13.85999966,
-13.88000011,
-13.89999962,
-13.92000008,
-13.93999958,
-13.96000004,
-13.97999954,
-14,
-14.02000046,
-14.03999996,
-14.06000042,
-14.07999992,
-14.10000038,
-14.11999989,
-14.14000034,
-14.15999985,
-14.18000031,
-14.19999981,
-14.22000027,
-14.23999977,
-14.26000023,
