voltage,current,HTL,Electrode,SourceFile
1.5,-414.6309677,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
1.480000019,-385.6563679,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
1.460000038,-356.9032535,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
1.440000057,-328.7029291,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
1.419999957,-301.1206642,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
1.399999976,-274.3710787,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
1.379999995,-248.5026629,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
1.360000014,-223.5535009,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
1.340000033,-199.5954201,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
1.320000052,-176.744982,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
1.299999952,-154.6317511,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
1.279999971,-134.3902016,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
1.25999999,-115.4326765,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
1.24000001,-97.9093727,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
1.220000029,-81.94844338,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
1.200000048,-67.59257541,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
1.179999948,-54.94284036,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
1.159999967,-43.96051523,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
1.139999986,-34.61669053,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
1.120000005,-26.83426084,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
1.100000024,-20.49933927,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
1.080000043,-15.22049901,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
1.059999943,-11.35139249,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
1.039999962,-8.442671007,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
1.019999981,-6.241458833,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
1.0,-4.585986776,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.980000019,-3.342190565,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.959999979,-2.40110113,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.939999998,-1.691137359,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.920000017,-1.059209736,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.899999976,-0.731692486,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.879999995,-0.483381943,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.860000014,-0.311966484,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.839999974,-0.198958746,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.819999993,-0.115442899,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.800000012,-0.074565833,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.779999971,-0.047888804,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.75999999,-0.030407811,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.74000001,-0.018785354,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.720000029,-0.012798244,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.699999988,-0.005289909,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.680000007,-0.001331143,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.660000026,0.001430179,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.639999986,0.003445972,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.620000005,0.004951289,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.600000024,0.006061799,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.579999983,0.00686974,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.560000002,0.00755718,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.540000021,0.0080433,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.519999981,0.008421773,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.5,0.008725819,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
0.479999989,0.008934018,MeO2PACz,Ag,MeO2PACz_Ag_scan_10V.csv
