voltage,current,HTL,Electrode,SourceFile
2.000499964,-881.8853246,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.980499983,-858.4866223,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.960500002,-835.1497414,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.940500021,-811.7999297,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.92050004,-788.4895875,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.900500059,-765.291743,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.880499959,-742.1123095,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.860499978,-718.9477155,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.840499997,-695.8657552,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.820500016,-673.304412,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.800500035,-650.4444913,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.780500054,-627.5929449,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.760499954,-604.874339,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.740499973,-582.1838729,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.720499992,-559.5366324,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.700500011,-537.042837,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.680500031,-514.6769637,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.66050005,-492.3700178,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.640499949,-470.1741532,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.620499969,-448.0994684,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.600499988,-426.5626415,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.580500007,-404.7752966,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.560500026,-383.1341309,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.540500045,-361.6408068,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.520499945,-340.3826686,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.500499964,-319.3366565,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.480499983,-298.5267846,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.460500002,-277.9694936,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.440500021,-257.7210784,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.42050004,-237.7826166,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.400500059,-218.2284755,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.380499959,-199.392361,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.360499978,-180.6752094,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.340499997,-162.506984,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.320500016,-144.5241765,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.300500035,-127.5661625,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.280500054,-111.3815849,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.260499954,-96.04474176,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.240499973,-81.64197668,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.220499992,-68.29246047,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.200500011,-56.08540382,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.180500031,-45.1309414,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.16050005,-35.6468372,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.140499949,-27.35373102,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.120499969,-20.42865881,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.100499988,-14.41312507,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.080500007,-10.13809276,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.060500026,-7.102417005,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.040500045,-4.928100139,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.020499945,-3.422962594,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
1.000499964,-2.398167896,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.980499983,-1.702471858,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.960500002,-1.197381735,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.940500021,-0.875331495,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.92049998,-0.648139539,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.9005,-0.482739343,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.880500019,-0.363556602,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.860499978,-0.275934199,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.840499997,-0.212132213,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.820500016,-0.165732244,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.800499976,-0.129163281,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.780499995,-0.106234942,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.760500014,-0.087190709,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.740499973,-0.073125358,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.720499992,-0.061963806,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.700500011,-0.053645027,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.680499971,-0.046421948,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.66049999,-0.040808561,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.640500009,-0.036395644,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.620500028,-0.03242414,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.600499988,-0.028929935,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.580500007,-0.026398916,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.560500026,-0.023788605,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.540499985,-0.021526794,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.520500004,-0.019386235,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.500500023,-0.017494554,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.480500013,-0.015936179,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.460500002,-0.014075719,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.440499991,-0.012644281,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.42050001,-0.011295813,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.4005,-0.009946253,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.380499989,-0.008802232,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.360500008,-0.007606404,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
0.340499997,-0.006356494,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
