HTL,Electrode,feature,value,architecture,bandgap_eV
MeO-2PACz,Ag,Vbr_mean,-1.0282758620689656,PIN,1.67
MeO-2PACz,Ag,Vbr_std,0.5134134296584912,PIN,1.67
MeO-2PACz,Ag,Vbr_median,-0.89,PIN,1.67
MeO-2PACz,Au,Vbr_mean,-2.2766666666666664,PIN,1.67
MeO-2PACz,Au,Vbr_std,0.7556880095754411,PIN,1.67
MeO-2PACz,Au,Vbr_median,-2.42,PIN,1.67
NiOx,Ag,Vbr_mean,-1.8218181818181818,PIN,1.67
NiOx,Ag,Vbr_std,0.4016470419663841,PIN,1.67
NiOx,Ag,Vbr_median,-1.86,PIN,1.67
NiOx,Au,Vbr_mean,-3.735,PIN,1.67
NiOx,Au,Vbr_std,0.49266824537410575,PIN,1.67
NiOx,Au,Vbr_median,-3.645,PIN,1.67
PEDOT:PSS,Ag,Vbr_mean,-2.9336,PIN,1.67
PEDOT:PSS,Ag,Vbr_std,0.45778342768897456,PIN,1.67
PEDOT:PSS,Ag,Vbr_median,-2.71,PIN,1.67
PEDOT:PSS,Au,Vbr_mean,-3.693636363636364,PIN,1.67
PEDOT:PSS,Au,Vbr_std,0.392893693695196,PIN,1.67
PEDOT:PSS,Au,Vbr_median,-3.62,PIN,1.67
PTAA,Ag,Vbr_mean,-7.595333333333333,PIN,1.67
PTAA,Ag,Vbr_std,0.9371443539977635,PIN,1.67
PTAA,Ag,Vbr_median,-7.375,PIN,1.67
PTAA,Au,Vbr_mean,-15.364047619047618,PIN,1.67
PTAA,Au,Vbr_std,1.5166861493815724,PIN,1.67
PTAA,Au,Vbr_median,-15.48,PIN,1.67
Poly-TPD,Ag,Vbr_mean,-5.297307692307692,PIN,1.67
Poly-TPD,Ag,Vbr_std,1.8720738397666,PIN,1.67
Poly-TPD,Ag,Vbr_median,-5.475,PIN,1.67
Poly-TPD,Au,Vbr_mean,-9.417272727272728,PIN,1.67
Poly-TPD,Au,Vbr_std,1.6090937461759913,PIN,1.67
Poly-TPD,Au,Vbr_median,-10.04,PIN,1.67
PTAA,Au,Vbr_thickness_slope,-0.13354838709677422,PIN,1.67
Poly-TPD,Au,Vbr_thickness_slope,-0.26799999999999996,PIN,1.67
