MeasuredVoltage,MeasuredCurrent,StressMode,StressVoltage,StressDuration_s,HTL,Electrode,Type,Week,SourceFile,TimeIndex,AbsCurrent,LogAbsCurrent
-0.200000003,21.68107903,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,0.0,21.68107903,1.3360808925133862
-0.180000007,21.56565568,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,1.0,21.56565568,1.3337626669480613
-0.159999996,21.45751664,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,2.0,21.45751664,1.3315794580065479
-0.140000001,21.34268693,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,3.0,21.34268693,1.3292490939004942
-0.119999997,21.2169057,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,4.0,21.2169057,1.3266820461548745
-0.100000001,21.12356657,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,5.0,21.12356657,1.3247672477317116
-0.079999998,21.02270542,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,6.0,21.02270542,1.3226886048323714
-0.059999999,20.92648931,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,7.0,20.92648931,1.3206963759380648
-0.039999999,20.83004834,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,8.0,20.83004834,1.3186902778308562
-0.02,20.7410947,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,9.0,20.7410947,1.3168316744280064
0.0,20.65408516,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,10.0,20.65408516,1.315005963373196
0.02,20.56964037,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,11.0,20.56964037,1.3132266987800156
0.039999999,20.48606162,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,12.0,20.48606162,1.3114584747180422
0.059999999,20.40295316,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,13.0,20.40295316,1.3096930325584126
0.079999998,20.32344638,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,14.0,20.32344638,1.3079973560398963
0.100000001,20.24045227,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,15.0,20.24045227,1.3062202125454851
0.119999997,20.15653559,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,16.0,20.15653559,1.3044158897276634
0.140000001,20.07867224,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,17.0,20.07867224,1.3027349904713632
0.159999996,19.98867908,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,18.0,19.98867908,1.300784095429409
0.180000007,19.90237241,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,19.0,19.90237241,1.2989048484496588
0.200000003,19.82623731,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,20.0,19.82623731,1.297240300179892
0.219999999,19.75943727,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,21.0,19.75943727,1.2957745721554825
0.239999995,19.67184695,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,22.0,19.67184695,1.2938451368879031
0.25999999,19.58539765,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,23.0,19.58539765,1.2919323936465517
0.280000001,19.51397955,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,24.0,19.51397955,1.2903458455502883
0.300000012,19.42687365,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,25.0,19.42687365,1.2884029156093262
0.319999993,19.33717474,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,26.0,19.33717474,1.2863930217622712
0.340000004,19.24934414,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,27.0,19.24934414,1.284415936920001
0.360000014,19.15018295,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,28.0,19.15018295,1.2821729273506062
0.379999995,19.07272051,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,29.0,19.07272051,1.2804126447317496
0.400000006,18.98127666,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,30.0,18.98127666,1.2783254192704827
0.419999987,18.89609688,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,31.0,18.89609688,1.2763721069193041
0.439999998,18.80039603,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,32.0,18.80039603,1.2741669977884895
0.460000008,18.68500352,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,33.0,18.68500352,1.2714931840240682
0.479999989,18.59859791,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,34.0,18.59859791,1.269480205375577
0.5,18.49272036,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,35.0,18.49272036,1.2670008024987869
0.519999981,18.38690577,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,36.0,18.38690577,1.2645086504101857
0.540000021,18.29696915,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,37.0,18.29696915,1.2623791558501258
0.560000002,18.18885581,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,38.0,18.18885581,1.259805380174088
0.579999983,18.09677591,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,39.0,18.09677591,1.2576012086380588
0.600000024,17.7843858,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,40.0,17.7843858,1.250038871048786
0.620000005,17.90112493,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,41.0,17.90112493,1.2528803234924566
0.639999986,17.77837872,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,42.0,17.77837872,1.2498921534492837
0.660000026,17.64440859,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,43.0,17.64440859,1.2466071061661097
0.680000007,17.47054629,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,44.0,17.47054629,1.2423064852609758
0.699999988,17.3246802,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,45.0,17.3246802,1.2386652266476033
0.720000029,17.17804701,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,46.0,17.17804701,1.2349737869365003
0.74000001,16.98909569,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,47.0,16.98909569,1.230170262514667
0.75999999,16.77897888,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,48.0,16.77897888,1.2247655274199272
0.779999971,16.53289411,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,49.0,16.53289411,1.2183488842078647
0.800000012,16.26445143,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,50.0,16.26445143,1.2112394199383583
0.819999993,15.94468964,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,51.0,15.94468964,1.2026160702385642
0.839999974,15.53899894,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,52.0,15.53899894,1.1914230370901586
0.860000014,15.00208274,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,53.0,15.00208274,1.1761515563978888
0.879999995,14.38607479,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,54.0,14.38607479,1.1579423138011475
0.899999976,13.62041919,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,55.0,13.62041919,1.1341904739157276
0.920000017,12.72368713,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,56.0,12.72368713,1.1046129814860315
0.939999998,11.62973132,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,57.0,11.62973132,1.0655696814391127
0.959999979,10.31087807,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,58.0,10.31087807,1.0132956512342541
0.980000019,8.68157754,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,59.0,8.68157754,0.9385986485751915
1.0,6.720870471,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,60.0,6.720870471,0.8274255255394909
1.019999981,4.236453465,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,61.0,4.236453465,0.6270024403970001
1.039999962,0.963177536,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,62.0,0.963177536,-0.01629365448191566
1.059999943,-3.439132507,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,63.0,3.439132507,0.5364489092865544
1.080000043,-8.741117681,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,64.0,8.741117681,0.941566967198567
1.100000024,-15.86234571,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,65.0,15.86234571,1.2003674108514013
1.120000005,-24.79659204,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,66.0,24.79659204,1.3943919969757872
1.139999986,-29.98072309,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,67.0,29.98072309,1.4768421031835135
1.159999967,-29.98162511,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,68.0,29.98162511,1.4768551694599468
1.179999948,-29.97990587,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,69.0,29.97990587,1.4768302649442333
1.200000048,-29.97971056,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,70.0,29.97971056,1.4768274356381
-0.200000003,20.48032883,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,0.0,20.48032883,1.3113369253673821
-0.180000007,20.48562857,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,1.0,20.48562857,1.311449294172914
-0.159999996,20.4830209,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,2.0,20.4830209,1.311394008157497
-0.140000001,20.47782069,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,3.0,20.47782069,1.3112837358861231
-0.119999997,20.47585423,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,4.0,20.47585423,1.3112420291172353
-0.100000001,20.47122593,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,5.0,20.47122593,1.3111438514131744
-0.079999998,20.46789014,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,6.0,20.46789014,1.3110730772816348
-0.059999999,20.4633664,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,7.0,20.4633664,1.3109770804570298
-0.039999999,20.4587507,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,8.0,20.4587507,1.3108791103034512
