Vbr,thickness,HTL,Electrode,SourceFile,thickness_nm,Type,Week,DatasetRole
-8.8,16 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,16.0,Type4,8,Scaling
-5.55,16 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,16.0,Type4,8,Scaling
-5.87,16 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,16.0,Type4,8,Scaling
-11.42,16 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,16.0,Type4,8,Scaling
-8.01,16 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,16.0,Type4,8,Scaling
-6.88,16 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,16.0,Type4,8,Scaling
-10.46,16 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,16.0,Type4,8,Scaling
-10.06,16 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,16.0,Type4,8,Scaling
-10.41,16 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,16.0,Type4,8,Scaling
-9.61,16 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,16.0,Type4,8,Scaling
-10.48,16 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,16.0,Type4,8,Scaling
-10.89,16 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,16.0,Type4,8,Scaling
-9.65,16 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,16.0,Type4,8,Scaling
-10.64,16 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,16.0,Type4,8,Scaling
-9.18,16 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,16.0,Type4,8,Scaling
-9.45,16 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,16.0,Type4,8,Scaling
-8.05,16 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,16.0,Type4,8,Scaling
-10.02,16 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,16.0,Type4,8,Scaling
-10.14,16 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,16.0,Type4,8,Scaling
-10.72,16 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,16.0,Type4,8,Scaling
-10.32,16 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,16.0,Type4,8,Scaling
-10.57,16 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,16.0,Type4,8,Scaling
-15.28,35 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-17.48,35 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-16.7,35 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-15.02,35 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-16.68,35 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-14.38,35 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-17.26,35 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-16.46,35 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-16.84,35 nm,Poly-TPD,Au,PolyTPD_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-8.7,18 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,18.0,Type4,8,Scaling
-8.8,18nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,18.0,Type4,8,Scaling
-8.4,18 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,18.0,Type4,8,Scaling
-7.4,18 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,18.0,Type4,8,Scaling
-6.8,18nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,18.0,Type4,8,Scaling
-8.0,18 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,18.0,Type4,8,Scaling
-5.6,18 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,18.0,Type4,8,Scaling
-4.9,18nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,18.0,Type4,8,Scaling
-15.56,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-15.42,35nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-14.04,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-15.54,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-14.64,35nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-14.84,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-14.52,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-14.32,35nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-15.38,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-15.98,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-14.78,35nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-15.68,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-15.95,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-16.59,35nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-16.77,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-16.74,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-17.08,35nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-14.06,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-14.08,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-14.35,35nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-14.82,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-16.25,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-13.66,35nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-13.86,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-16.07,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-15.4,35nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-16.2,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-14.64,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-14.52,35nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-17.62,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-17.3,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-16.78,35nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-18.19,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-17.32,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-17.12,35nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-15.01,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-12.51,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-11.54,35nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-16.8,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-11.4,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-16.28,35nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-15.68,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-13.61,35 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,35.0,Type4,8,Scaling
-15.22,50nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,50.0,Type4,8,Scaling
-14.12,50 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,50.0,Type4,8,Scaling
-16.32,50 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,50.0,Type4,8,Scaling
-15.83,50nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,50.0,Type4,8,Scaling
-10.42,50 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,50.0,Type4,8,Scaling
-15.02,50nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,50.0,Type4,8,Scaling
-14.96,50 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,50.0,Type4,8,Scaling
-15.26,50 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,50.0,Type4,8,Scaling
-16.46,50nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,50.0,Type4,8,Scaling
-15.12,50 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,50.0,Type4,8,Scaling
-16.38,50nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,50.0,Type4,8,Scaling
-16.98,50 nm,PTAA,Au,PTAA_Au_thickness_Vbr.csv,50.0,Type4,8,Scaling
