Vbr,HTL,Electrode,SourceFile,Type,Week,DatasetRole
-0.48,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-0.48,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-0.46,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-0.44,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-0.53,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-0.62,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-0.72,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.42,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-0.95,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-0.67,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-0.85,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-2.69,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.74,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.66,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.26,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.54,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-0.98,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.51,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.57,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-0.82,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.02,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.21,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.28,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-0.33,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-0.83,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.17,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-0.89,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-0.83,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-0.87,MeO-2PACz,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.46,NiOx,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.59,NiOx,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.84,NiOx,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-2.27,NiOx,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-2.0,NiOx,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.81,NiOx,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-0.87,NiOx,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.86,NiOx,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-3.03,NiOx,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.38,NiOx,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.95,NiOx,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.26,NiOx,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.78,NiOx,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-2.01,NiOx,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.84,NiOx,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.77,NiOx,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.86,NiOx,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.89,NiOx,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.91,NiOx,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.86,NiOx,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.9,NiOx,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.94,NiOx,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-2.54,PEDOT:PSS,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-2.29,PEDOT:PSS,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-4.0,PEDOT:PSS,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-2.57,PEDOT:PSS,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-2.67,PEDOT:PSS,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-2.61,PEDOT:PSS,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-2.53,PEDOT:PSS,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-3.32,PEDOT:PSS,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-3.34,PEDOT:PSS,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-3.38,PEDOT:PSS,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-3.56,PEDOT:PSS,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-3.35,PEDOT:PSS,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-3.39,PEDOT:PSS,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-3.6,PEDOT:PSS,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-3.47,PEDOT:PSS,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-2.8,PEDOT:PSS,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-2.79,PEDOT:PSS,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-2.88,PEDOT:PSS,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-2.61,PEDOT:PSS,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-2.71,PEDOT:PSS,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-2.59,PEDOT:PSS,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-2.6,PEDOT:PSS,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-2.65,PEDOT:PSS,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-2.66,PEDOT:PSS,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-2.43,PEDOT:PSS,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-6.62,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-6.62,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-5.68,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-5.96,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-2.26,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-5.96,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-5.82,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-6.92,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-9.3,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-4.37,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-4.01,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-3.7,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-4.92,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-2.16,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-2.77,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-5.51,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-5.44,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-5.31,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-6.14,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-5.24,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-5.43,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-5.26,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-1.32,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-5.51,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-6.2,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-9.3,Poly-TPD,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-8.52,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-8.02,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-8.21,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-7.32,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-7.3,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-7.0,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-7.42,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-7.36,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-9.2,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-6.12,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-7.0,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-6.91,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-7.51,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-6.06,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-9.86,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-6.84,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-7.12,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
