Electrode,HTL,n,mean,std,median,q10,q90,vbr_min,vbr_max
Ag,MeO-2PACz,29,-1.0282758620689656,0.5134134296584912,-0.89,-1.588,-0.476,-2.69,-0.33
Ag,NiOx,22,-1.8218181818181818,0.4016470419663841,-1.86,-2.009,-1.3879999999999997,-3.03,-0.87
Ag,PEDOT:PSS,25,-2.9336,0.45778342768897456,-2.71,-3.524,-2.534,-4.0,-2.29
Ag,PTAA,30,-7.595333333333333,0.9371443539977635,-7.375,-8.732,-6.587,-9.86,-6.06
Ag,Poly-TPD,26,-5.297307692307692,1.8720738397666,-5.475,-6.77,-2.5149999999999997,-9.3,-1.32
Au,MeO-2PACz,30,-2.2766666666666664,0.7556880095754411,-2.42,-3.255,-0.859,-3.43,-0.73
Au,NiOx,26,-3.735,0.49266824537410575,-3.645,-4.57,-3.2300000000000004,-4.78,-3.12
Au,PEDOT:PSS,11,-3.693636363636364,0.392893693695196,-3.62,-4.37,-3.34,-4.39,-3.22
Au,PTAA,42,-15.364047619047618,1.5166861493815724,-15.48,-17.116,-13.878,-18.19,-11.4
Au,Poly-TPD,22,-9.417272727272728,1.6090937461759913,-10.04,-10.712,-6.992999999999998,-11.42,-5.55
